,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Luton Borough Council,501.49,391.44000000000005,262.57,3945.7200000000003,952.83,247.64,9.72,11.92,363.36,84.7,9.200000000000001,23.380000000000003,175.88,2506.74,0.0,0.0,0.0,0.0,0.0
Buckinghamshire County Council,74.24,1043.96,1087.0100000000002,7154.43,3523.79,958.4300000000001,41.029999999999994,32.9,0.0,232.94,20.03,102.26,176.68,0.0,58.72,2.5,0.0,0.0,0.0
Chesterfield Borough Council,543.06,3.644,0.0,3728.3,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.44,18.874,1673.25,0.0,0.0,0.0,0.0,0.0
West Devon Borough Council,469.38,545.546,56.564,1535.9740000000002,0.0,2.63,0.38,0.0,0.0,0.0,0.0,297.82,26.108999999999998,0.0,29.497,60.201,0.26,0.0,0.0
Bournemouth Borough Council,48.269999999999996,195.97,232.95,5008.7300000000005,1318.86,223.43,9.28,13.06,0.0,153.4,4.7,90.87,52.72,4166.83,14.63,24.05,0.0,1349.24,0.0
Colchester Borough Council,947.1479999999999,1687.818,156.0,3461.5,0.0,8.01,0.0,0.0,0.0,0.0,0.0,169.062,49.125,0.0,0.0,464.44,3.143,0.0,0.0
Fareham Borough Council,515.82,35.98,0.14,1472.88,0.0,4.68,0.0,0.0,0.0,0.0,0.0,0.0,66.02,1750.0400000000002,0.0,0.6,0.0,0.0,0.0
Dacorum Borough Council,1016.8900000000001,1000.1500000000001,111.81,5654.71,0.0,19.758000000000003,0.0,0.0,0.0,0.0,0.0,0.0,13.24,29.64,0.0,279.78,6.92,0.0,0.0
Medway Borough Council,75.19999999999999,264.79,482.43999999999994,9475.34,1662.33,441.71999999999997,35.0,16.22,0.0,97.34,15.32,15.09,73.94999999999999,4470.3099999999995,31.04,158.06,139.36,2120.0,0.0
Lancaster City Council,64.92,1201.1000000000001,8.68,3908.2799999999997,1.54,24.15,0.0,0.0,0.0,0.0,0.0,0.0,54.15,1060.59,79.36,0.0,8.921,0.0,0.0
South Holland District Council,29.02,26.338,1.111,112.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.72,48.126,2207.44,0.0,0.0,0.0,0.0,0.0
Bassetlaw District Council,209.54999999999998,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.75,19.07,1595.56,0.0,0.0,0.27,0.0,0.0
Woking Borough Council,24.78,29.105,1.6600000000000001,2856.36,0.0,2.22,0.0,0.0,0.0,0.0,0.0,13.0,28.034,2587.16,0.0,2.565,1.077,0.0,0.0
South Tyneside MBC,36.4,641.6,117.0,4042.4,843.7,181.50000000000003,2.2,7.2,0.0,30.0,4.0,0.0,29.8,2500.6,11.5,5.7,0.0,1343.4,0.0
Calderdale MBC,1248.48,1440.1200000000001,408.27,4220.5,965.05,216.39999999999998,9.26,4.18,0.0,132.16,4.81,60.96,76.78999999999999,0.0,0.0,231.85999999999999,0.0,1533.12,12.78
Ealing LB,1359.44,2510.5799999999995,480.30999999999995,3886.2000000000003,0.0,258.96,4.22,0.0,0.0,20.85,7.11,102.13,359.44,390.99,1.33,743.6,78.57,0.0,0.0
Southwark LB,0.0,115.61999999999999,78.54,3031.5,469.56,49.47999999999999,0.74,10.46,0.0,36.2,1.66,5.24,57.085,4681.88,0.0,0.0,0.0,599.98,2.077
Milton Keynes Council,1382.66,310.16,645.11,10219.679999999998,1881.79,327.31,21.53,26.28,0.0,104.41,18.509999999999998,79.44,123.16000000000001,4766.379999999999,0.0,38.16,0.0,1513.84,0.0
North East Derbyshire District Council,0.0,540.92,0.0,4081.58,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.92,0.0,1618.47,0.0,0.0,0.0,0.0,0.0
Hastings Borough Council,523.79,25.062,2.67,734.608,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,36.678,1305.87,0.0,0.0,0.0,0.0,0.0
Rochford District Council,35.14,26.856,0.0,4299.5,0.0,8.033000000000001,0.061,1.042,0.0,0.0,0.0,0.0,40.049,2368.38,7.889,0.0,0.0,0.0,0.0
Cheltenham Borough Council,776.79,1163.36,177.35,3183.04,408.26,147.99999999999997,2.6,0.0,0.0,0.0,2.05,95.49000000000001,91.39999999999999,0.0,73.46,86.07,3.04,0.0,0.0
New Forest District Council,1297.88,170.2,0.0,936.2,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,110.66,2520.67,0.0,0.0,0.0,0.0,0.0
St Albans City and District Council,936.96,1533.4099999999999,0.0,4930.66,0.0,6.114,0.0,0.0,0.0,0.0,0.0,0.0,14.82,464.23,0.0,0.0,2.89,0.0,0.0
North East Lincolnshire Council,795.29,1182.3000000000002,148.406,5099.16,688.54,228.17000000000002,3.74,0.0,0.0,30.18,2.5,0.0,40.809999999999995,321.94,0.0,26.78,0.03,164.7,0.0
Rossendale Borough Council,0.0,41.76,0.17,1016.94,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,50.4,1388.34,0.82,0.0,0.0,0.0,0.0
Newark and Sherwood District Council,404.72,3.8200000000000003,4.14,585.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.72,11.55,1965.7,0.0,0.0,1.15,0.0,0.0
East Staffordshire Borough Council,4.645,560.299,3.169,4811.160000000001,0.0,2.7,0.0,0.0,0.0,0.0,0.0,95.996,11.031,2280.9,12.666,0.361,0.0,0.0,0.0
Surrey County Council,106.0,1782.0,2318.0,14587.0,0.0,1909.0,69.0,34.0,0.0,308.0,51.0,104.0,673.0,0.0,0.0,1.0,117.0,7593.0,0.0
Manchester City Council MBC,27.18,3503.01,0.0,9001.5,0.0,67.34,0.0,0.0,0.0,0.0,0.0,0.0,73.04,3624.7799999999997,15.262,0.0,0.0,0.0,0.0
Barnsley MBC,1565.28,1994.2999999999997,528.6,7333.82,851.08,288.90000000000003,4.18,0.0,0.0,27.33,7.12,8.22,92.92,0.0,0.0,389.96000000000004,1.23,1056.22,0.0
Havering LB,414.06,219.91,206.24,4336.26,1078.95,203.04,5.95,7.68,0.0,0.0,6.609999999999999,644.94,37.04,3310.0,4.82,50.58,0.0,301.07,1.34
Wealden District Council,660.104,15.225000000000001,0.0,5073.219,0.0,4.702999999999999,0.0,0.0,0.0,0.0,0.0,0.14,35.738,3199.8940000000002,4.890000000000001,0.0,0.0,0.0,0.0
Uttlesford District Council,15.36,12.2,1.43,1572.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,21.478,2141.42,0.0,0.0,0.0,0.0,0.0
Stroud District Council,0.0,1194.38,15.16,35.52,0.0,42.459999999999994,0.0,0.0,0.0,0.0,0.0,30.43,75.55999999999999,1346.62,55.11,0.0,0.0,0.0,0.0
Test Valley Borough Council,553.6800000000001,1.73,0.374,1007.24,0.0,5.74,0.0,0.0,0.0,0.0,0.0,0.0,101.466,1892.55,0.0,0.0,2.21,0.0,0.0
Welwyn Hatfield Council,49.62,638.5300000000001,3.12,3933.26,0.0,5.108,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1536.12,0.0,4.08,0.0,0.0,0.0
York City Council,1248.3100000000002,2111.96,487.38,7272.94,963.08,220.96000000000004,6.68,0.0,0.0,12.46,3.22,0.0,79.9,0.0,0.0,579.55,3.42,319.8,0.0
