Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Luton Borough Council,513.54,135.06,337.54,55.56,3478.52,1133.68,257.67,11.83,12.54,340.66,85.42,7.6,17.08,195.2,2450.51,0,0,0,0
Buckinghamshire County Council,75.07,1181.97,1154.32,10.07,6008.76,3934.19,1203.9,62.26,48.5,0,170.38,35.41,81.47,213.55,0,54.35,0.28,0,0
Chesterfield Borough Council,508.939,0,0,0,3435.86,0,20.94,0,0,0,0,0,0.6,13.79,1703.841,0,0,0,0
West Devon Borough Council,419.5,480.526,55.8,80.311,1417.6,1,1.53,0.24,0,0,0,0,2.33,11.245,0,31.384,1.098,0,0
Bournemouth Borough Council,44.86,161.13,553.63,69.52,5042.95,0,319.2,4.66,15.7,0,64.02,5.24,60.79,28.66,4164.68,0,0,1092.9,0
Colchester Borough Council,940.547,1854.01,188.64,449,4015.58,0,253.241,0,0,0,0,0,0,18.472,0,0,1.64,0,0
Fareham Borough Council,441.78,16.2,0,0,1316.13,0,7.22,0,0,0,0,0,0,62.303,1712.8,0,0,0,0
Dacorum Borough Council,0,2.25,0,0,4919.07,0,26.163,0,0,0,0,0,0,12.71,3601.3,0,0,0,0
Medway Borough Council,146.74,310.2,550.89,0,9090.96,1883.4,468.62,22.43,12.68,0,97.08,13.96,21.56,94.04,4595.54,2.75,1.27,2190,0
Lancaster City Council,107.82,1111.76,0.268,0,3003.44,0,20.121,0,0,0,0,0,0.175,22.33,1154.15,75.083,9.366,0,0
South Holland District Council,27.74,12.26,0,0,291.32,0,0,0,0,0,0,0,0,19.468,2169.36,0,0,0,0
Bassetlaw District Council,219.53,1.12,0,0,0,0,0,0,0,0,0,0,0,29.49,1713.98,0,0.18,0,0
Woking Borough Council,8.598,16.358,1.763,0.996,3161.42,0,7.042,0,0,0,0,0,0,37.675,2285.7,0,1.08,0,0
South Tyneside MBC,27.3,605.3,181.9,8.1,3417.8,1105.2,226.1,4.8,10.8,0,34.7,3.4,0,28.3,2574.3,15.4,0,1492.4,0
Calderdale MBC,1226.8,1262.44,464.14,209.23,3966.42,1128.56,220.58,5.47,8.58,0,146.22,3.4,66.01,93.29,0,0,0,1307.41,15.07
Ealing LB,1148.76,2397.8,371.6,0,3714.26,577.11,225.42,2.2,0,0,9.87,9.24,0,333.87,2955.19,14.79,93.46,0,0
Southwark LB,0,135.27,108.02,6.96,2686.987,732.84,71.36,2.1,0,0,37.08,1.6,2.66,101.253,4854.22,0,0.34,509.86,0.894
Milton Keynes Council,1277.96,363.24,680.94,6.06,9498.64,1826.49,452.12,24.47,23.1,0,95.5,17.28,46.22,136.05,4776.7,0,0,1419.72,0
North East Derbyshire District Council,0,465.62,0,0,3669.56,0,11.46,0,0,0,0,0,0.84,0,1747.19,0,0,0,0
Hastings Borough Council,261.16,24.08,4.29,0,631.42,0,24.7,0,0,0,0,0,0,40.397,1426.92,0,0,0,0
Rochford District Council,40.455,21.99,0,0,4349.16,0,19.443,0,0,0,0,0,0,44.148,2092.28,9.281,0,0,0
Cheltenham Borough Council,755.54,1135.34,190.38,126.17,3289.36,411.45,187.05,2.9,0,0,0,5.7,31.23,93.661,210.3,70.11,2.87,0,0
New Forest District Council,1374.85,151.9,0,0,1042.94,0,15.02,0,0,0,0,0,0,136.53,2454.69,0,0,0,0
St Albans City and District Council,787.28,1554.21,0,0,4417.66,0,21.92,0,0,0,0,0,0,14.16,682.01,0,2.17,0,0
North East Lincolnshire Council,671.171,1034.479,171.232,3.2,3423.83,725.94,249.56,5.2,0,0,22.16,1.7,0,12.377,315.297,0,0.02,159.48,0
Rossendale Borough Council,0,527.891,0,0,938.86,0,0.64,0,0,0,0,0,0,17.477,944.11,0.64,0,0,0
Newark and Sherwood District Council,419.83,1.94,0,0,1226.64,0,0,0,0,0,0,0,12,9.57,1979.46,0,0.91,0,0
East Staffordshire Borough Council,5.676,434.55,0.474,0.717,4324.3,0,0,0,0,0,0,0,0,6.83,2269.24,8.563,0,0,0
Surrey County Council,263,1752,2521,208,11172,138,1793,80,61,0,317,68,65,509,0,0,0,5229,0
Manchester City Council MBC,21.78,3342.74,0,0,8269.09,0,90.52,0,0,0,0,0,0,93.4,3944.56,0,0,0,0
