Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Luton Borough Council,580.7,175.66,288.31,3310.6,1080.46,241.49,11.18,15.44,419.98,91.72,9.9,30.16,177.78,2411.71,0,0,0,0,0
Buckinghamshire County Council,60.95,980.05,1160.937,5860.59,3636.1,1059.2,63.32,38.22,0,126.55,23.82,273.74,202.69,0,4.25,78.89,0,0,0
Chesterfield Borough Council,507.536,4.266,0,3353.94,0,16.28,0,0,0,0,0,0,20.596,1699.144,0,0,0,0,0
West Devon Borough Council,479.64,547.789,47.269,1479.205,1.16,1.89,0.5,0,0,0,0,183.478,16.171,0,72.335,29.198,0.386,0,0
Bournemouth Borough Council,63.7,134.41,394.76,4487.01,1249.15,233.79,11.34,6.56,0,176.54,4.4,138.84,49.22,4164.34,72.91,11.66,0,1455.95,0
Colchester Borough Council,1031.83,1662.398,153.74,3950.83,0,7.2,0,0,0,0,0,0,48.544,0,456.68,0,1.843,0,0
Fareham Borough Council,501.078,30.95,0.146,1301.12,0,5.14,0,0,0,0,0,0,63.836,1715.68,0.537,0,0,0,0
Dacorum Borough Council,0,3.51,0,4646.49,0,16.627,0,0,0,0,0,0,15.89,3637.15,0,0,4.43,0,0
Medway Borough Council,207.68,296.47,455.13,8593.65,1698.56,468.69,14.06,17.17,0,110.92,14.05,7.36,98.2,4582.12,0,18.7,85.16,2291.88,0
Lancaster City Council,74.46,1168.451,0.24,3529.94,8.19,19.946,0,0,0,0,0,0,5.16,1063.95,0,71.174,10.238,0,0
South Holland District Council,28.2,88.962,0.4,96.96,0,0,0,0,0,0,0,0,28.879,2088.71,0,0,0,0,0
Bassetlaw District Council,219.3,1.35,0,0,0,0,0,0,0,0,0,0,24.24,1593.72,0,0,0.18,0,0
Woking Borough Council,33.678,35.81,0.252,2798.33,0,2.638,0,0,0,0,0,0,40.594,2543.96,3.65,0,0.902,0,0
South Tyneside MBC,36.3,531.5,161.1,3362.5,1103.6,195.6,4.6,5.8,0,25.6,3.3,0,61,2713.4,41.4,14.1,0,1512.4,0
Calderdale MBC,1201.42,1353.58,431.1,3568.82,1070.78,206.13,6.23,6.04,0,121.79,5.44,62.98,79.15,0,212.36,0,0,1391.36,13.47
Ealing LB,1670.64,3102.58,259.89,3480.31,200.01,244.59,3.01,0.08,0,20.47,6.73,0,367.08,1636.91,0,17.31,80.15,0,0
Southwark LB,0,91.66,67.6,2604.77,454.02,51.5,1.36,0.46,0,36.14,1.54,5.7,74.892,4737.9,1.54,0,0,794.04,0.59
Milton Keynes Council,1312.26,352.26,620.7,9335.92,1893.08,437.63,22.81,30.54,0,127.16,14.87,60.8,144.61,4549.62,7.28,0,0,1469.9,0
North East Derbyshire District Council,0,520.41,0,3667.9,0,12.44,0,0,0,0,0,1.46,0,1657.24,0,0,0,0,0
Hastings Borough Council,400.39,12.78,4.56,674.68,0,11.36,0,0,0,0,0,0,49.919,1393.71,0,0,0,0,0
Rochford District Council,34.067,18.53,0,4126.5,0,11.799,0.075,0,0,0,0,0,42.713,2255.1,0,7.355,0,0,0
