Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Luton Borough Council,538.58,173.54,207.17,679.31,674.3,163.38,8.97,8.83,100.62,68,5.4,19.44,141.71,2379.56,0,0,0,0,0
Buckinghamshire County Council,84.51,1009.68,826.5,2044.62,2546.01,846.2,57.97,26.34,0,222.12,9.58,38.09,173,0,35.4,21.34,2.19,0,0
Chesterfield Borough Council,550.818,4.83,0,1160.8,0,18.86,0,0,0,0,0,2.2,16.556,1844.042,0,0,0,0,0
West Devon Borough Council,453.72,526.097,136.313,938.14,0,4.287,0.5,0,0,0,0,550.14,14.025,0,28.432,0.537,97.451,0,0
Bournemouth Borough Council,39.14,187.19,259.17,1469.4,851.5,218.33,7.82,4.74,0,128.06,3,136.8,136.06,4214.27,7.55,0,55.3,485.12,0
Colchester Borough Council,1076.694,1884.198,164.62,999.14,0,5.55,0,0,0,0,0,282.49,48.022,0,0,2.188,414.44,0,0
Fareham Borough Council,509.879,33.45,0.104,483.55,0,4.4,0,0,0,0,0,0,64.361,1838.08,0,0,0.474,0,0
Dacorum Borough Council,0,80.49,0,2297.86,0,14.91,0,0,0,0,0,265.92,15.3,3683.51,0,0.03,0,0,0
Medway Borough Council,206.96,382.98,348.88,3124.36,1144.69,391.71,12.87,10.14,0,87.92,10.75,24.38,90.18,4738.36,6.89,85.83,113.94,1220,0
Lancaster City Council,35.476,1213.56,0.045,1357.84,8.44,17.589,0,0,0,0,0,0,30.59,1127.56,63.85,8.342,0,0,0
South Holland District Council,33.9,13.397,5.34,30.08,0,0,0,0,0,0,0,333.2,29.55,2297.89,0,0,0,0,0
Bassetlaw District Council,210.11,1.79,0,0,0,0,0,0,0,0,0,213.37,20.52,1636.88,0,0.16,0,0,0
Woking Borough Council,32.467,37.154,2.639,2038.7,0,4.66,0,0,0,0,0,831,37.342,2549.28,0,0.827,2.923,0,0
South Tyneside MBC,36.6,575.1,115.7,397.1,824.5,187.6,4.7,6.8,0,29.5,2.5,0,30.6,2654.8,8.9,0,29.4,957.2,0
Calderdale MBC,1322.56,1406.51,396.75,2018.5,807.21,221.99,6.51,7.83,0,120.42,4.08,69.95,71.55,0,0,0,225.38,793.74,10.91
Ealing LB,1539.98,2875.65,427.3,1959.15,189.46,218.02,2.87,9.62,0,16.87,3.36,247.82,314.18,392.25,1.85,72.6,848.26,0,0
Southwark LB,0,101.5,62.48,1799.86,376.46,62.28,0.9,0,0,36.26,0.88,2.98,53.751,4706.58,0,0,5.1,477.84,0.837
Milton Keynes Council,1205.08,322.5,396.36,3787.62,1230.17,369.59,16.73,24.16,0,91.4,9.22,59.62,126.13,4998.52,0,0,15.7,715.96,0
North East Derbyshire District Council,0,563.56,0,594.92,0,8.18,0,0,0,0,0,1.5,0,1788.54,0,0,0,0,0
Hastings Borough Council,310.42,9.918,3.35,168.765,0,12.101,0,0,0,0,0,0,51.097,1475.84,0,0,0,0,0
Rochford District Council,17.34,13.79,0,2063.74,0,11.697,0,0,0,0,0,0,40.706,2285.12,9.209,0,0,0,0
Cheltenham Borough Council,785.74,1172.69,140.86,1484.45,287.23,125.19,1.8,0,0,0,0,34.18,96.83,98.78,114.62,3.04,113.43,0,0
New Forest District Council,1321.21,155.82,0,416.94,0,15.64,0,0,0,0,0,0,121.5,2646.25,0,0,0,0,0
St Albans City and District Council,1066.65,1679.34,0,2034.42,0,6.03,0.03,0,0,0,0,0,14.58,467.49,0,2.68,1.056,0,0
North East Lincolnshire Council,678.45,1046.958,112.22,995.35,512.82,217.9,4.94,0,0,24.12,0.8,0,31.968,280.25,0,0.08,31.33,69.08,0
Rossendale Borough Council,0,620.665,0,168.02,0,0.05,0,0,0,0,0,0,17.047,947.93,0.44,0,0,0,0
Newark and Sherwood District Council,432.54,3.03,0.31,150.38,0,0,0,0,0,0,0,320.2,9.49,2033.86,0,0.92,0,0,0
East Staffordshire Borough Council,4.969,495.269,2.32,1449.808,0,3.96,0,0,0,0,0,164.011,10.855,2317.56,11.062,0,0.05,0,0
Surrey County Council,129,1806,1631,4938,0,1799,75,0,0,399,35,137,700,0,0,322,268,4251,0
