,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Luton Borough Council,538.58,173.54,207.17000000000002,679.31,674.3,163.38,8.97,8.83,100.62,68.0,5.4,19.44,141.71,2379.56,0.0,0.0,0.0,0.0,0.0
Buckinghamshire County Council,84.51,1009.6800000000001,826.5,2044.6200000000001,2546.01,846.1999999999999,57.97,26.34,0.0,222.12,9.58,38.089999999999996,173.0,0.0,35.4,21.34,2.19,0.0,0.0
Chesterfield Borough Council,550.818,4.83,0.0,1160.8,0.0,18.86,0.0,0.0,0.0,0.0,0.0,2.2,16.555999999999997,1844.042,0.0,0.0,0.0,0.0,0.0
West Devon Borough Council,453.71999999999997,526.0970000000001,136.313,938.14,0.0,4.287,0.5,0.0,0.0,0.0,0.0,550.14,14.025,0.0,28.432,0.537,97.451,0.0,0.0
Bournemouth Borough Council,39.14,187.19,259.17,1469.4,851.5,218.32999999999998,7.819999999999999,4.74,0.0,128.06,3.0,136.8,136.06,4214.2699999999995,7.55,0.0,55.3,485.12,0.0
Colchester Borough Council,1076.694,1884.1979999999999,164.62,999.14,0.0,5.55,0.0,0.0,0.0,0.0,0.0,282.49,48.022000000000006,0.0,0.0,2.188,414.44,0.0,0.0
Fareham Borough Council,509.879,33.45,0.104,483.55,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,64.361,1838.08,0.0,0.0,0.474,0.0,0.0
Dacorum Borough Council,0.0,80.49,0.0,2297.86,0.0,14.91,0.0,0.0,0.0,0.0,0.0,265.92,15.3,3683.5099999999998,0.0,0.03,0.0,0.0,0.0
Medway Borough Council,206.96,382.98,348.87999999999994,3124.3599999999997,1144.69,391.71,12.87,10.14,0.0,87.92,10.75,24.38,90.18,4738.360000000001,6.890000000000001,85.83,113.94,1220.0,0.0
Lancaster City Council,35.476,1213.56,0.045,1357.84,8.44,17.589,0.0,0.0,0.0,0.0,0.0,0.0,30.59,1127.56,63.85,8.342,0.0,0.0,0.0
South Holland District Council,33.9,13.396999999999998,5.34,30.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.2,29.55,2297.89,0.0,0.0,0.0,0.0,0.0
Bassetlaw District Council,210.10999999999999,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.37,20.52,1636.88,0.0,0.16,0.0,0.0,0.0
Woking Borough Council,32.467,37.153999999999996,2.6390000000000002,2038.7,0.0,4.66,0.0,0.0,0.0,0.0,0.0,831.0,37.342,2549.28,0.0,0.827,2.923,0.0,0.0
South Tyneside MBC,36.6,575.1,115.69999999999999,397.1,824.5,187.59999999999997,4.7,6.800000000000001,0.0,29.5,2.5,0.0,30.6,2654.8,8.9,0.0,29.4,957.1999999999999,0.0
Calderdale MBC,1322.56,1406.5100000000002,396.75,2018.5,807.21,221.98999999999998,6.51,7.83,0.0,120.42,4.08,69.95,71.55,0.0,0.0,0.0,225.38,793.74,10.91
Ealing LB,1539.98,2875.65,427.3,1959.1499999999999,189.46,218.01999999999998,2.87,9.62,0.0,16.87,3.36,247.82000000000002,314.18,392.25,1.85,72.6,848.26,0.0,0.0
Southwark LB,0.0,101.5,62.48,1799.86,376.46,62.28,0.9,0.0,0.0,36.26,0.8799999999999999,2.98,53.751000000000005,4706.58,0.0,0.0,5.1,477.84,0.837
Milton Keynes Council,1205.08,322.5,396.36,3787.6200000000003,1230.17,369.59,16.73,24.16,0.0,91.4,9.22,59.620000000000005,126.13,4998.5199999999995,0.0,0.0,15.7,715.96,0.0
North East Derbyshire District Council,0.0,563.56,0.0,594.92,0.0,8.18,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1788.54,0.0,0.0,0.0,0.0,0.0
Hastings Borough Council,310.42,9.918,3.35,168.765,0.0,12.101,0.0,0.0,0.0,0.0,0.0,0.0,51.097,1475.84,0.0,0.0,0.0,0.0,0.0
Rochford District Council,17.34,13.79,0.0,2063.74,0.0,11.697,0.0,0.0,0.0,0.0,0.0,0.0,40.706,2285.12,9.209,0.0,0.0,0.0,0.0
Cheltenham Borough Council,785.74,1172.69,140.86,1484.45,287.23,125.19,1.8,0.0,0.0,0.0,0.0,34.18,96.83,98.78,114.62,3.04,113.43,0.0,0.0
New Forest District Council,1321.21,155.82,0.0,416.94,0.0,15.64,0.0,0.0,0.0,0.0,0.0,0.0,121.5,2646.25,0.0,0.0,0.0,0.0,0.0
St Albans City and District Council,1066.6499999999999,1679.3400000000001,0.0,2034.42,0.0,6.029999999999999,0.03,0.0,0.0,0.0,0.0,0.0,14.58,467.49,0.0,2.68,1.056,0.0,0.0
North East Lincolnshire Council,678.4499999999999,1046.958,112.22000000000001,995.35,512.8199999999999,217.89999999999998,4.94,0.0,0.0,24.12,0.8,0.0,31.968,280.25,0.0,0.08,31.33,69.08,0.0
Rossendale Borough Council,0.0,620.665,0.0,168.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,17.047,947.93,0.44,0.0,0.0,0.0,0.0
Newark and Sherwood District Council,432.54,3.0300000000000002,0.31,150.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.2,9.49,2033.8600000000001,0.0,0.92,0.0,0.0,0.0
East Staffordshire Borough Council,4.969,495.26900000000006,2.32,1449.808,0.0,3.96,0.0,0.0,0.0,0.0,0.0,164.011,10.855,2317.56,11.062,0.0,0.05,0.0,0.0
Surrey County Council,129.0,1806.0,1631.0,4938.0,0.0,1799.0,75.0,0.0,0.0,399.0,35.0,137.0,700.0,0.0,0.0,322.0,268.0,4251.0,0.0
Manchester City Council MBC,42.88,3411.1699999999996,0.0,3658.56,0.0,55.02,0.0,0.0,0.0,0.0,0.0,142.9,84.885,3727.69,0.0,0.0,0.0,0.0,0.0
Barnsley MBC,1697.19,2034.46,454.83000000000004,1167.64,657.9,287.94,4.33,0.0,0.0,26.82,4.4,7.48,100.38,0.0,0.0,0.77,377.04999999999995,541.14,0.0
Havering LB,101.28,377.77,130.17999999999998,1751.42,657.34,199.31,8.870000000000001,12.78,0.0,0.0,3.63,62.62,51.15,3138.44,3.12,0.0,43.54,72.36,0.71
Wealden District Council,545.1039999999999,5.495,0.0,1808.099,0.0,3.92,0.0,0.0,0.0,0.0,0.0,0.115,34.024,3503.688,0.0,0.0,0.0,0.0,0.0
Uttlesford District Council,0.0,0.27,0.0,900.3199999999999,0.0,0.0,0.0,1.76,0.0,0.0,0.0,187.197,11.93,2353.54,0.0,0.0,0.0,0.0,0.0
Stroud District Council,0.0,1179.52,5.02,65.41,0.0,33.94,0.0,0.0,0.0,0.0,0.0,34.68,130.4,1435.77,82.6,0.0,0.0,0.0,0.0
Test Valley Borough Council,796.2600000000001,2.02,15.350999999999999,443.84,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,98.829,2057.96,0.0,2.16,2.08,0.0,0.0
Welwyn Hatfield Council,37.93,588.24,2.1,2142.72,0.0,6.786999999999999,0.0,0.0,0.0,0.0,0.0,0.0,17.33,1653.92,0.0,0.0,3.8,0.0,0.0
York City Council,1212.529,2063.488,436.91099999999994,1064.126,773.3199999999999,208.48,7.57,0.0,0.0,13.86,2.64,0.0,82.75,352.52,0.0,2.21,528.035,0.0,0.0
Cherwell District Council,714.31,3.99,3.56,2444.92,0.0,7.76,0.0,0.0,0.0,0.0,0.0,122.31,90.49,2724.66,0.0,0.0,0.0,0.0,0.0
Telford and Wrekin Council,7.98,1693.6000000000001,109.06,1577.9,644.18,253.05,4.6,13.9,79.3,63.5,2.57,8.94,63.99,2003.26,19.9,0.65,5.86,353.44,30.25
South Staffordshire Council,19.53,27.029999999999998,0.0,1373.9,0.0,12.870000000000001,0.0,0.0,0.0,0.0,0.0,224.96,1.9,2876.1,0.0,0.0,0.0,0.0,0.0
Mole Valley District Council,0.0,36.1,0.0,1283.38,0.0,5.56,0.0,0.0,0.0,0.0,0.0,766.0,6.12,2486.74,0.0,0.0,0.0,0.0,0.0
Arun District Council,0.0,0.0,0.0,853.83,0.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0,33.72,3538.26,0.0,0.0,0.0,0.0,0.0
Stockport MBC,0.0,3711.63,0.0,5931.18,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,24.29,3402.64,0.0,0.0,0.0,0.0,0.0
Dudley MBC,1703.622,2911.41,164.42000000000002,565.98,649.0699999999999,151.22400000000002,11.273,5.52,0.0,48.3,2.808,15.034,51.634,667.058,0.0,44.232,0.26,349.77,0.0
Lewisham LB,2.76,23.919999999999998,19.23,348.84000000000003,169.41,55.080000000000005,1.99,0.0,0.0,0.0,0.0,304.91,30.46,4703.16,0.0,118.95,2.2199999999999998,131.08,0.0
North Somerset Council,1565.35,3264.45,512.8499999999999,4068.0,1412.06,412.78,10.5,1.0,0.0,62.06,5.130000000000001,30.520000000000003,83.9,0.0,0.0,0.12,572.89,544.4,87.0
Fenland District Council,48.89,18.012999999999998,0.0,1611.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,43.292,2261.0280000000002,0.0,0.0,1.18,0.0,0.0
Halton Borough Council,16.27,135.68,125.93,694.8199999999999,553.46,159.91000000000003,3.93,6.7,0.0,49.8,1.67,30.82,157.12,2214.38,0.0,0.54,65.25,341.4,0.0
Derbyshire County Council,83.03999999999999,882.6,710.75,1466.4,2581.7400000000002,937.7500000000001,26.85,51.22,0.0,216.62,14.860000000000001,227.58,201.6,0.0,0.0,0.87,268.53,1540.32,0.0
Southend-on-Sea Borough Council,19.0,121.0,105.0,2273.0,772.0,159.0,0.0,0.0,0.0,50.0,0.0,180.0,9.0,4031.0,0.0,0.0,0.0,427.0,0.0
Worcester City Council,24.74,12.780000000000001,8.54,111.16,0.0,2.09,0.0,0.0,0.0,0.0,0.0,202.48999999999998,83.41,2467.9,16.02,0.0,0.0,0.0,0.0
Chorley Borough Council,35.07,961.8900000000001,0.0,1300.22,0.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,8.04,1586.74,14.78,0.51,0.0,0.0,0.0
East Lindsey District Council,555.16,17.091,0.2,1311.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.7,76.17,2559.22,38.328,0.0,0.35,0.0,0.0
West Oxfordshire District Council,539.34,96.93900000000001,3.83,2366.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0,158.37,43.141,2586.2,0.0,0.0,30.25,0.0,0.0
Taunton Deane Borough Council,811.059,1165.141,116.711,1397.76,0.0,1.5,1.7469999999999999,0.0,0.0,0.0,0.0,37.782000000000004,31.613999999999997,0.0,14.748,1.09,157.553,0.0,0.0
Surrey Heath Borough Council,247.45,58.36000000000001,15.18,1350.2,0.0,9.0,0.0,6.42,0.0,0.0,0.0,975.0,72.37,2927.96,5.0,0.0,0.39,0.0,0.0
Mid Sussex District Council,0.0,0.0,0.0,708.03,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,11.16,3519.5,0.0,0.0,0.0,0.0,0.0
Wolverhampton MBC,0.0,127.03,100.07,1647.9,771.14,156.37,2.37,0.0,0.0,111.48,2.45,0.0,69.79,4780.02,0.0,0.0,23.74,507.06,0.0
Bexley LB,920.0,2832.0,233.0,3632.0,873.0,299.0,5.0,14.0,0.0,56.0,5.0,313.0,274.0,1776.0,0.0,62.0,56.0,718.0,0.0
Reading Borough Council,691.91,108.23,140.66,909.25,622.89,170.1,7.33,8.36,85.41,36.37,2.78,4.05,90.46,2508.44,0.0,2.5300000000000002,11.68,385.38,20.92
Carlisle City Council,668.83,1110.72,152.8,825.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.228,0.0,0.0,0.0,0.0,262.5,0.0,0.0
Derby City Council,15.379999999999999,174.89,158.75,533.55,682.0,293.25,7.92,8.39,0.0,71.6,7.69,34.730000000000004,41.620000000000005,5189.870000000001,0.0,0.14,73.31,43.64,1.4200000000000002
East Sussex County Council,126.14,609.4,695.44,1361.805,872.78,970.0,40.58,21.96,409.75,145.1,10.46,80.10000000000001,50.42,0.0,0.0,0.0,7.76,1321.42,8.55
Worcestershire County Council,59.86,681.43,996.6899999999999,2315.8,2500.74,484.733,26.987000000000002,0.0,0.0,296.08,17.544,0.0,116.06,5.72,6.561,0.126,0.0,3017.64,0.0
East Riding of Yorkshire Council,175.62,471.41,488.39,6422.55,1697.86,651.91,14.799999999999999,27.52,122.14,167.26,7.63,0.8,183.59,8178.85,0.0,0.9,10.739999999999998,1766.7,0.0
Ashford Borough Council,0.0,23.63,0.0,1854.9299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3549.68,0.0,0.0,0.0,0.0,0.0
Pendle Borough Council,32.120000000000005,792.24,0.25,251.98,0.0,37.49,0.0,0.35,0.0,0.0,0.0,0.0,18.74,1061.54,54.54,2.87,0.16,0.0,0.0
South Kesteven District Council,0.0,2.625,0.0,977.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.09,18.867,4276.3,0.0,6.34,0.0,0.0,0.0
Richmondshire District Council,347.95,427.21,49.565000000000005,240.66,0.0,0.6200000000000001,0.0,0.0,0.0,0.0,0.0,113.988,33.289,0.0,0.0,1.253,70.405,0.0,0.0
Harrogate Borough Council,354.39099999999996,232.11800000000002,9.416,576.98,0.0,12.350999999999999,0.0,0.0,0.0,0.0,0.0,23.299,428.3639999999999,2747.24,90.526,1.888,11.953,0.0,0.0
