Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Luton Borough Council,539.03,141.7,252.8,450.86,737.18,172.25,7.86,6.76,99.86,67.1,6.9,80.4,2440.61,80.2,0,0,0,0,0
Buckinghamshire County Council,89.039,1224.64,928.479,2051.82,2986.05,947.156,48.18,70.1,0,171.52,22.642,50.32,0,185.855,42.2,0.2,1.42,0,0
Chesterfield Borough Council,602.384,0,0,1267.6,0,21.23,0,0,0,0,0,0.52,2016.676,10.979,0,0,0,0,0
West Devon Borough Council,474.1,623.928,83.35,907.813,1.1,1.26,0.42,0.786,0,0,0,281.28,0,6.247,36.721,1.173,84.199,0,0
Bournemouth Borough Council,32.94,165.92,322.12,2102.41,1012.24,292.33,6.44,1.14,0,230.72,1.4,119.33,4342.84,39.82,0,0,36.12,660.88,0
Colchester Borough Council,1075.403,1875.39,200.62,1853.78,0,2228.998,0,0,0,0,0,0,0,69.926,0,2.298,435.68,0,0
Fareham Borough Council,531.91,23.6,0.12,530.52,0,6.2,0,0,0,0,0,0,1812.6,60.663,0,0,0.55,0,0
Dacorum Borough Council,0,0.36,0,1910.62,0,24.741,0,0,0,0,0,0,3966.9,14.15,0,0,0,0,0
Medway Borough Council,143.68,290.22,418.14,3259.86,1338.22,466.71,17.73,8.66,0,106.84,7.74,18.47,4814.06,106.41,5.04,2.24,0,1220,0
Lancaster City Council,81.94,1277.74,0.208,1558.04,0,22.09,0,0,0,0,0,0.294,1105.51,17.6,70.42,8.95,0,0,0
South Holland District Council,27.49,25.18,0.05,30.18,0,0,0,0,0,0,0,0,2334.18,37.56,0,0,0.02,0,0
Bassetlaw District Council,216.11,1.41,0,0,0,0,0,0,0,0,0,0,1768.9,28.85,0,0.15,0,0,0
Woking Borough Council,16.696,16.208,1.764,2254.02,0,10.44,0,0,0,0,0,0,2620.52,31.553,73,1.298,3.083,0,0
South Tyneside MBC,32.4,518.3,147.7,750.7,990.2,205.2,3.5,7.4,0,37.9,2,0,2838.9,35.9,12.8,0,2.2,1057.2,0
Calderdale MBC,1300.14,1416.18,414.03,2139.46,956.86,231.37,3.55,6.47,0,147.03,5.99,94.79,0,91.56,0,0,216.52,994.08,10.65
Ealing LB,1597.6,2918.26,237.63,1850.7,0,229.68,2.42,0,0,11.01,6.45,0,1639.39,299.73,6.47,80.49,0,0,0
