Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Luton Borough Council,546.5,112.5,216.28,46.14,515.92,663.26,139.98,9.63,10.99,84.36,71.88,5,13.4,138.38,2530.87,0,0,0,0
Buckinghamshire County Council,76.04,1078.98,1023.48,16.68,2273.17,2884.86,913.53,50.78,28.28,0,164.62,21.63,44.39,177.19,0,43.93,3.5,0,0
Chesterfield Borough Council,542.883,0,0,0,1378.3,0,20.52,0,0,0,0,0,1.57,20.36,1817.477,0,0,0,0
West Devon Borough Council,477.86,548.565,56.76,91.186,911.28,1.54,1.8,0.14,0,0,0,0,0,10.531,0,19.223,0.897,0,0
Bournemouth Borough Council,0,131.82,187.38,27.99,1655.9,716.4,253.34,4.4,6.44,0,25.06,3.4,13.67,54.69,4448.18,0,0,208.32,0
Colchester Borough Council,1095.642,1778.27,191.4,462.76,2331.16,0,180.343,0,0,0,0,0,0,14.962,0,0,2.218,0,0
Fareham Borough Council,529.12,20.74,0.143,0.875,605.85,0,6.66,0,0,0,0,0,0,68.868,1788.92,0,0,0,0
Dacorum Borough Council,0,0.37,0,0,2252.84,0,32.176,0,0,0,0,0,0,14.86,4077.66,0,0,0,0
Medway Borough Council,134.72,307.48,394.2,5.6,3728.54,1411.94,415.28,18.98,10.26,0,101.32,13.85,15.58,92.45,4636.68,4.6,2.82,1310,0
Lancaster City Council,57.36,1222.45,0.205,0,796.2,8.53,21.328,0,0,0,0,0,0.645,22.04,1136.44,72.863,7.784,0,0
South Holland District Council,31.83,5.32,1.54,0,198.78,0,0,0,0,0,0,0,0,16.917,2284.02,0,0,0,0
Bassetlaw District Council,235.46,2.69,0,0,143.92,0,0,0,0,0,0,0,0,33.2,1769.3,0,0.18,0,0
Woking Borough Council,10.118,18.377,0.665,0.897,2436.538,0,10.36,0,0,0,0,0,0,38.495,2551.64,78,1.187,0,0
South Tyneside MBC,14.3,595.4,158.9,25.1,480.4,0,210.6,4.5,10.8,0,36.9,2.7,0,101.9,2643.5,16.6,0,1101.6,0
Calderdale MBC,1329.18,1450.67,188.48,3.74,2229.91,918.43,230.26,6.84,22.52,0,162.54,4,149.22,104.05,614.34,0,0,985.48,12.79
Ealing LB,195.49,651.1,215.32,0,2716.43,390.45,180.26,0,0,0,12.67,8.76,0,280.59,6061.79,11.74,63.71,0,0
Southwark LB,0,77.38,89.19,4.04,1710.34,205.52,59.57,0.98,0,0,13.32,1.3,0,93.949,4793.84,0,0.24,0,0
Milton Keynes Council,1263.45,300.18,554.26,8.54,4116.46,1438.1,366.25,15.02,21.36,0,119.19,12.01,29.66,104.9,4945.01,0,0,748.14,0
