,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Luton Borough Council,535.82,170.62,251.18,2908.8599999999997,896.56,239.84000000000003,11.64,10.64,345.88,97.52,8.34,23.540000000000003,192.26999999999998,2559.2999999999997,0.0,0.0,0.0,0.0,0.0
Buckinghamshire County Council,84.9,1045.71,1067.1100000000001,6138.39,3347.5099999999998,937.25,59.690000000000005,29.94,0.0,323.02,23.93,113.92999999999999,184.74,0.0,75.91,3.2399999999999998,0.0,0.0,0.0
Chesterfield Borough Council,475.403,2.205,0.0,3267.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,11.238,1608.687,0.0,0.0,0.0,0.0,0.0
West Devon Borough Council,474.88,583.225,14.655,1440.8899999999999,1.3,2.9640000000000004,0.68,0.0,0.0,0.0,0.0,142.56,16.055,0.0,32.046,86.296,0.524,0.0,0.0
Bournemouth Borough Council,49.34,189.26,402.96999999999997,3919.5099999999998,1172.76,235.34000000000003,8.9,5.7,0.0,103.24,3.4,135.64,52.98,4223.76,12.53,43.31,0.0,1394.72,0.0
Colchester Borough Council,1111.91,1870.778,155.9,2516.16,0.0,7.69,0.0,0.0,0.0,0.0,0.0,261.08,52.428,0.0,0.0,392.68,2.563,0.0,0.0
Fareham Borough Council,501.98999999999995,37.870000000000005,0.261,1149.52,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,65.336,1789.3799999999999,0.0,0.607,0.0,0.0,0.0
Dacorum Borough Council,1029.88,1008.75,97.38999999999999,3901.0,0.0,10.209,0.0,0.0,0.0,0.0,0.0,0.0,14.579999999999998,0.0,0.0,296.5,5.97,0.0,0.0
Medway Borough Council,156.98,603.9200000000001,412.66,7546.21,1612.3,391.63,15.84,21.31,0.0,93.18,15.12,13.0,105.78,4322.099999999999,26.3,185.22,166.05999999999997,2180.0,0.0
Lancaster City Council,70.80000000000001,1146.0900000000001,0.18,3403.28,6.14,17.081,0.0,0.0,0.0,0.0,0.0,0.0,12.984,1105.02,72.405,0.0,3.801,0.0,0.0
South Holland District Council,35.95,27.032,7.19,86.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.07,35.387,2206.9,0.0,0.0,0.0,0.0,0.0
Bassetlaw District Council,216.63999999999996,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.01,19.06,1577.68,0.0,0.0,0.19,0.0,0.0
Woking Borough Council,34.32,26.91,2.06,2781.96,0.0,2.48,0.0,0.0,0.0,0.0,0.0,9.0,31.657000000000004,2415.743,0.0,2.13,2.022,0.0,0.0
South Tyneside MBC,37.8,635.4,120.60000000000001,3394.5,916.0,187.2,3.0,8.0,0.0,23.1,4.9,0.0,25.5,2490.2,12.1,14.8,0.0,1303.7,0.0
Calderdale MBC,1235.4099999999999,1361.02,387.07000000000005,3677.46,817.59,198.29,3.29,9.34,0.0,116.58,6.3,77.6,83.1,0.0,0.0,234.75,0.0,1270.16,12.76
Ealing LB,1333.91,2488.75,479.41999999999996,3282.21,32.52,235.68,3.87,0.0,0.0,20.92,5.1,125.41,392.42999999999995,362.75,1.65,745.41,81.42,0.0,0.0
Southwark LB,0.0,122.36,68.32000000000001,2537.17,468.432,62.16,2.14,1.6,0.0,31.56,0.8600000000000001,8.38,66.997,4716.62,0.0,0.0,0.24,660.74,0.223
Milton Keynes Council,1139.72,322.13,567.3299999999999,8711.36,1669.94,318.75,15.26,21.24,0.0,89.55,12.56,64.44,134.1,4859.02,0.0,65.69,0.0,1425.2299999999998,0.0
North East Derbyshire District Council,0.0,569.16,0.0,3554.7,0.0,8.42,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1581.48,0.0,0.0,0.0,0.0,0.0
Hastings Borough Council,453.65999999999997,19.509,2.58,569.56,0.0,14.470000000000002,0.0,0.0,0.0,0.0,0.0,0.0,45.16,1256.9199999999998,0.0,0.0,0.0,0.0,0.0
Rochford District Council,25.46,29.94,0.0,4040.56,0.0,8.188,0.011,1.042,0.0,0.0,0.0,0.0,41.219,2226.788,6.59,0.0,0.0,0.0,0.0
Cheltenham Borough Council,777.96,1154.39,170.66,3001.43,385.0,151.25000000000003,5.0,0.0,0.0,0.0,2.43,75.16,92.89999999999999,0.0,65.52,124.32,2.49,0.0,0.0
New Forest District Council,1383.1399999999999,185.44,0.0,856.01,0.0,17.08,0.0,0.0,0.0,0.0,0.0,0.0,128.92,2536.37,0.0,0.0,0.0,0.0,0.0
St Albans City and District Council,995.11,1512.91,0.0,4003.26,0.0,5.970000000000001,0.0,0.0,0.0,0.0,0.0,0.0,17.15,462.7,0.0,3.966,3.08,0.0,0.0
North East Lincolnshire Council,731.255,1050.942,141.62199999999999,4892.900000000001,627.8199999999999,205.17000000000002,5.180000000000001,0.0,0.0,27.36,1.9,0.0,14.523,290.206,0.0,24.759999999999998,0.12,154.42,0.0
Rossendale Borough Council,0.0,547.153,0.0,930.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.147,823.9599999999999,0.1,0.0,0.0,0.0,0.0
Newark and Sherwood District Council,444.42999999999995,8.07,3.66,614.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.27,12.8,1916.1599999999999,0.0,0.0,0.75,0.0,0.0
East Staffordshire Borough Council,3.191,506.284,5.889,3944.57,0.0,3.6,0.0,0.0,0.0,0.0,0.0,99.934,11.844,2275.1800000000003,15.359,0.12,0.0,0.0,0.0
