Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Luton Borough Council,466.96,126.1,312.63,69.66,3274.28,983.66,195.02,10.95,12.98,307.12,93,9.7,16.72,197.33,2614.14,0,0,0,0
Buckinghamshire County Council,71.83,1256.78,1210.61,11.84,6344.59,3763.17,1126.9,60.77,41.28,0,326.58,30.01,80,198.96,0,66.4,5.43,0,0
Chesterfield Borough Council,506.823,0,0,0,3569.66,0,24.14,0,0,0,0,0,0.36,21.921,1696.757,0,0,0,0
West Devon Borough Council,506.16,556.198,52.18,55.814,1528.78,0.76,3.24,0.08,0,0,0,0,0,11.232,0,32.201,0.631,0,0
Bournemouth Borough Council,45.18,233.12,259.78,44.2,3582.99,919.12,293.1,8.56,0,0,53.46,2.26,45.03,27.79,4473.98,0,0,722.6,0
Colchester Borough Council,1142.348,1763.49,172.44,437.62,3677.36,0,249.121,0,0,0,0,0,0,15.737,0,0,1.916,0,0
Fareham Borough Council,614.32,37.19,0.661,1.522,1250.34,0,8.46,0,0,0,0,0,0,69.056,1747.02,0,0,0,0
Dacorum Borough Council,0,0.3,0,0,4790.14,0,26.118,0,0,0,0,0,0,15.2,3873.47,0,0,0,0
Medway Borough Council,132.68,299.82,517.69,2.74,7694.06,1689.26,458.39,15.83,12.19,0,94.98,18.65,17.78,119.43,4508.32,5.47,1.24,2230,0
Lancaster City Council,64,1149.13,0.106,0,3610.06,0,33.779,0,0,0,0,0,0.094,21.94,1115.42,63.365,8.647,0,0
South Holland District Council,22.42,8.975,0,0,459.475,0,0,0,0,0,0,0,0,17.036,2177.72,0,0,0,0
Bassetlaw District Council,236.34,0.94,0,0,0,0,0,0,0,0,0,0,0,35.71,1697.38,0,0.1,0,0
Woking Borough Council,11.304,18.46,2.648,0.798,3042.9,0,9.46,0,0,0,0,0,0,36.921,2564.4,0,1.234,0,0
South Tyneside MBC,31.4,645.7,172.5,33.8,3551.2,1051.6,224.1,6.6,11.8,0,33.6,3,0,26,2571.6,12.9,0,1320.6,0
Calderdale MBC,1276.62,1310.75,198.6,3.41,4340.76,1082.8,262.52,8.5,8.03,0,130.92,4.5,64.41,113.29,437.56,0,0,1367.14,15.04
Ealing LB,84.95,734.09,335.4,0,4055.73,503.3,236.74,0.04,0.62,0,13.92,6.45,0,374.39,5687.68,8.14,80.14,0,0
Southwark LB,0,117.6,97.68,14.3,2651.45,526.28,80.6,0.9,0.72,0,34.86,1.74,1.68,121.536,4887.38,0,0,0,1.268
Milton Keynes Council,1288.71,340.73,679.28,8,8845.04,1594.47,437.05,26.13,28.2,0,105.18,17.17,35.87,144.14,4656.84,0,0,1346.08,0
North East Derbyshire District Council,0,446.24,0,0,3715.04,0,13.86,0,0,0,0,0,0.88,0,1737.32,0,0,0,0
Hastings Borough Council,81.04,0,4.9,0,615.66,0,23.28,0,0,0,0,0,0,47.919,1598.21,0,0,0,0
Rochford District Council,31.91,25.47,0,0,3736.16,0,24.431,0.013,0,0,0,0,0,52.415,2254.66,9.714,0,0,0
Cheltenham Borough Council,702.25,1172.86,199.81,118.61,3366.66,368.21,172.99,0,0,0,0,2.8,34.608,97.83,193.5,76.61,1.96,0,0
New Forest District Council,1442.42,125.15,0,0,1076.76,0,14.74,0,0,0,0,0,0,134.56,2530.01,0,0,0,0
St Albans City and District Council,43.17,1559.42,0,0,4478.27,0,25.31,0,0,0,0,0,0,15.66,1629.63,0,2.07,0,0
North East Lincolnshire Council,686.435,1061.875,163.29,1.1,3899.96,660.9,249.35,0,0,0,21.24,2.8,0,25.218,322.418,0,0.02,126.04,0
Rossendale Borough Council,0,554.952,0,0,1008.68,0,0,0,0,0,0,0,0,20.233,900.04,0,0,0,0
Newark and Sherwood District Council,475.41,1.11,0,0,1278.48,0,0,0,0,0,0,0,9.78,9.8,1970.5,0,0.52,0,0
East Staffordshire Borough Council,5.817,458.198,1.906,0.225,4278.82,0,0,0,0,0,0,0,0,6.659,2223.64,11.194,0,0,0
Surrey County Council,133,1695,2299,143,10771,112,1816,61,130,0,262,71,90,521,0,0,0,4711,0
Manchester City Council MBC,21.73,3465.48,0,0,9140.88,0,58.92,0,0,0,0,0,0,97.41,4252.3,0,0,0,0
Barnsley MBC,1667.77,1788.44,603.69,458.1,6772.8,905.9,325.148,6.16,0,0,31.04,9.014,7.9,109.237,0,0,1.077,1014.74,0
