Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Luton Borough Council,475.1,190.34,296.89,2887.22,971.84,178.06,12.47,13.49,325.32,105.4,10.85,26.28,168.84,2618.08,0,0,0,0,0
Buckinghamshire County Council,75.41,1134.74,1089.589,5323.44,3530.52,974.86,45.29,49.6,0,157.6,23.99,80,199.81,0,2.4,65.95,0.08,0,0
Chesterfield Borough Council,494.068,1.7,0,3052.94,0,13.56,0,0,0,0,0,1.22,21.236,1654.052,0,0,0,0,0
West Devon Borough Council,391.72,439.097,24.32,1403.09,0.48,1.89,0.26,0,0,0,0,16.4,9.926,0,70.974,32.565,0.447,0,0
Bournemouth Borough Council,57.42,176.66,328.07,3873.24,1258.81,191.66,7.22,0,0,201.18,4.15,127.12,49.63,4267.26,67.49,17.01,0,1152.16,0
Colchester Borough Council,1084.625,1878.968,177.6,3199.24,0,345.379,0,0,0,0,0,0,54.175,0,405.22,0,1.525,0,0
Fareham Borough Council,527.02,20.97,0.21,1166.44,0,7,0,0,0,0,0,0,63.349,1748.06,0,0,0,0,0
Dacorum Borough Council,0,0.05,0,4089.85,0,20.3,0,0,0,0,0,0,20.93,3554.7,0,0,7.06,0,0
Medway Borough Council,120.3,279.48,418.59,6855,1540.94,478.19,12,12.5,0,84.5,12.41,15.49,111.04,4653.62,0,2.27,50.04,1933.04,0
Lancaster City Council,65.95,1162.38,0.255,3679.2,0,19.055,0,0,0,0,0,0,22.72,1089.77,0,80.59,11.991,0,0
South Holland District Council,32.57,9.465,0.14,102.34,0,0,0,0,0,0,0,0,21.765,2226.24,0,0,0,0,0
Bassetlaw District Council,227.15,2.09,0,0,0,0,0,0,0,0,0,0,27.48,1676.26,0,0,0.13,0,0
Woking Borough Council,27.381,36.168,2.977,2687.767,0,6.78,0,0,0,0,0,0,47.043,2354.92,4.151,0,0.673,0,0
South Tyneside MBC,37.9,541.4,151.9,3182.4,1001.4,207.8,3.6,8.6,0,30.8,3.6,0,39.2,2695.9,33.8,11.6,0,1492.2,0
Calderdale MBC,1195.77,1323.36,419.65,3812.28,930.89,215.66,4,6.04,0,114.12,7,60.46,73.13,0,226.52,0,0,1247.62,10.75
Ealing LB,1606.8,3082.08,260.73,3099.84,78.94,238.86,3.55,0,0,14.49,8.5,0,376.27,1569.08,0,2.63,80.36,0,0
Southwark LB,0,105.14,72.36,2531.65,500.78,63.94,1.36,1.44,0,24.2,2.48,4.82,116.117,4919.15,3.58,0,0,795.34,0.9
Milton Keynes Council,1345.8,330.93,564.22,7856.68,1434.14,408.48,17.81,24.04,0,126.95,14.03,89.47,155.34,4598.61,7.42,0,0,1325.26,0
North East Derbyshire District Council,0,509.22,0,3369.08,0,12.28,0,0,0,0,0,0.8,0,1653.98,0,0,0,0,0
Hastings Borough Council,462,17.46,5.66,629.8,0,25.89,0,0,0,0,0,0,47.749,1390.31,0,0,0,0,0
Rochford District Council,32.46,16.3,0,3631.84,0,14.291,0,1.42,0,0,0,0,47.24,2176.24,0,8.937,0,0,0
Cheltenham Borough Council,767.95,1137.84,180.6,2740.56,367.18,166.63,2.1,0,0,0,2.45,35.168,119.383,74.77,142.37,62.24,2.52,0,0
New Forest District Council,1390.04,184.22,0,912,0,20.8,0,0,0,0,0,0,127.7,2576.36,0,0,0,0,0
St Albans City and District Council,982.44,1588.97,0,4073.05,0,7.39,0,0,0,0,0,0,18.73,476.9,1.591,0,1.57,0,0
North East Lincolnshire Council,682.111,1059.187,141.6,3740.22,637.9,235.63,4.89,0,0,24.3,1.7,0,26.805,323.599,4.55,0,0.02,156.32,0
Rossendale Borough Council,0,543.545,0,970.72,0,0.48,0,0,0,0,0,0,18.676,797.93,0,0.55,0,0,0
Newark and Sherwood District Council,444.2,2.31,0,831.92,0,0,0,0,0,0,0,4.42,9.964,2039.08,0,0,0.88,0,0
East Staffordshire Borough Council,2.947,455.091,13.4,3899.74,0,0,0,0,0,0,0,0,8.096,2228.99,0,9.151,0,0,0
Surrey County Council,193,2047,2298,10415,119,1877,82,81,0,392,40,149,1110,0,0,0,44,7029,0
Manchester City Council MBC,39.28,3374.91,0,8209.76,0,82.12,0,0,0,0,0,0,266.85,3755.75,0,0,0,0,0
Barnsley MBC,1588.28,1896.761,528.552,5953.04,844.22,309.01,6.304,0,0,34.34,5.186,2.86,108.456,0,433.35,0,0.584,960.88,0
Havering LB,339.55,116.13,237.57,3729.44,984.46,184.67,9.83,17.98,0,16.45,4.33,0,67.05,3216.45,30.15,4.32,0.66,731.69,0
Wealden District Council,802.9,8.445,0,4307.46,0,3.64,0,0,0,0,0,0.636,73.82,3186.66,0,0,0,0,0
Uttlesford District Council,0,0.423,0.84,1508.46,0,0,0,0,0,0,0,0,10.401,2418.26,0,0,0,0,0
Stroud District Council,0,1097.32,10.4,38.4,0,39.29,0,0,0,0,0,39.66,119.13,1432.55,0,92.68,0,0,0
Test Valley Borough Council,602.24,1.88,5.117,1036.44,0,6.34,0,0,0,0,0,0,102.77,2128.17,0.52,0,1.725,0,0
Welwyn Hatfield Council,48.46,555.08,2.52,3311.48,0,8.81,0,0,0,0,0,0,25.51,1608.26,5.64,0,0,0,0
York City Council,1132.627,2010.669,489.302,5879.168,981.6,272.5,7.6,0,0,15.4,5.44,0,89.53,485.2,543.43,0,1.14,0,0
Cherwell District Council,761.92,6.75,7.04,5155.62,0,13.68,2.59,0,0,0,0,0.31,99.51,2736.7,0,0,0,0,0
Telford and Wrekin Council,5.3,1630.76,197.22,5225.32,815.28,286.92,1.11,11.9,241.8,61.04,6.57,6,55.21,1926.54,16.18,23.76,0.75,535.66,38.17
South Staffordshire Council,18.13,17.41,0,4058.72,0,6.48,0,0,0,0,0,0,3.44,2804.56,0,0,0,0,0
Mole Valley District Council,0,41.54,0,2174.64,0,2.98,0,0,0,0,0,0,9.37,2412.92,0,0,0,0,0
Arun District Council,0,0,0,2077.74,0,14.08,0,0,0,0,0,0,36.44,3601.36,0,0,0,0,0
Stockport MBC,0,3486.94,0,10930.56,0,9.76,0,0,0,0,0,0,29.85,3184.78,0,0,0,0,0
Dudley MBC,1534.192,2863.718,195.79,8387.8,704.32,171.523,9.173,6.08,0,52.6,7.426,40.664,58.505,678.318,0,0,62.096,910.52,0
Lewisham LB,3.36,43.86,21,388.03,189.8,68.57,2.64,0,0,0,0.8,316.14,51.92,4881.59,2.38,0,75.74,292.02,0
North Somerset Council,1462.43,2599.11,555.47,7837.46,1622.44,367.14,11.15,1.7,0,82.24,11.4,56.57,112.54,0,1165.1,0,0,871.27,86.1
Fenland District Council,49.52,15.334,0,3633.5,0,0,0,0,0,0,0,18.421,34.835,2259.771,1.305,0,0,0,0
Halton Borough Council,12.37,146.75,167.14,2172.18,713.36,161.57,4.25,7.38,0,40.33,1.51,41.67,138.43,2260.74,91.67,0,0.26,707.56,2.56
Derbyshire County Council,61.66,681.88,955.09,4282.12,3202.37,1090.32,22.13,80.32,0,197.84,29.12,250.03,227.82,0,280.08,0,0.73,2226.45,0
Southend-on-Sea Borough Council,19,106,160,4033,818,185,0,0,0,28,0,201,12,3787,0,0,0,609,0
Worcester City Council,18.61,32.465,7.906,541.34,0,4.069,0,0,0,0,0,0.6,67.615,2509.22,0,17.471,0,0,0
Chorley Borough Council,32.54,890.6,0,3657.03,0,44.42,0,0,0,0,0,0,8.28,1612.83,0,3.26,0.79,0,0
East Lindsey District Council,588.51,0.61,0,4477.56,0,0,0,0,0,0,0,0,66.599,2532.82,0,0,0.535,0,0
West Oxfordshire District Council,460.1,86.959,4.48,4220.9,0,0,0,0,0,0,0,0,48.389,2552.26,20.43,0,0,0,0
Taunton Deane Borough Council,727.15,1186.94,75.941,2387.19,0,0,0.27,0,0,0,0,50.631,49.201,0,134.93,8.603,0,0,0
Surrey Heath Borough Council,35.89,35.98,10.3,1684.74,0,7.14,0,0,0,0,0,0,69.05,2748.94,5.48,0,0,0,0
Mid Sussex District Council,0,0,0,1531.07,0,7.96,0,0,0,0,0,0,13.44,3385.06,0,0,0,0,0
Wolverhampton MBC,0,140.03,151.55,7492.93,290,167.53,0,0,0,117.56,3.4,0,29.54,4556.92,35.8,0,0,959.26,0
Bexley LB,851,2697,288,4866,1127,213,6,8,0,26,6,313,364,1490,380,0,71,1402,0
Reading Borough Council,628.63,113.57,189.91,2103.49,0,202.59,6.92,6.83,255.53,88.35,4.11,4.56,113.56,2432.88,15.14,0,2.11,656.99,30.49
Carlisle City Council,603.16,1006.5,125.86,3469.7,0,0,0,0,0,0,0,0,3.72,0,282.06,0,0,0,0
Derby City Council,8.04,198.05,233.97,3146.03,977.54,327.75,14.62,9.7,0,96.17,10.53,129.57,57.68,4659.46,82.67,0,0,22.7,7.96
East Sussex County Council,146.8,637.04,908.42,3571.061,1117.2,1027.62,37.25,22.63,787.99,127.22,23.66,111.87,68.22,0,53.48,0,0,1827.9,11.21
Worcestershire County Council,72.28,739.12,1217.2,6400.18,3036.928,534.653,34.247,0,0,307.82,19.469,0,146.13,9.58,0,8.905,0.075,4845.44,0
East Riding of Yorkshire Council,179.22,491.13,602.5,16490.44,2137.58,723.81,20.03,41.84,0,153.8,9.26,1.38,187.96,8726.22,5.24,0,0,3599.89,0
Ashford Borough Council,0,0,0,2720.01,0,0,0,0,0,0,0,0,0,2614.86,0,0,0,0,0
Pendle Borough Council,25.64,692.67,0,999.28,0,45.14,0,0.81,0,0,0,0,26.03,1031.28,0,57.28,5.42,0,0
South Kesteven District Council,0,0,0,2449.5,0,0,0,0,0,0,0,0,0,4332.2,0,0,4.8,0,0
Richmondshire District Council,362.14,439.81,62.345,1031.02,0,1.24,0,0,0,0,0,0,49.453,0,82.085,0,1.363,0,0
Harrogate Borough Council,375.42,45.189,2.96,3877.21,0,4.849,0,0,0,0,0,0,47.424,2518.9,2.38,14.139,1.721,0,0
St Edmundsbury Borough Council,545.725,159.223,14.7,3657.37,0,14.941,1.475,0,0,0,0,0.72,67.429,2094.04,8.56,0,0,0,0
Rugby Borough Council,0,0,0,3449.05,0,0,0,0,0,0,0,0,4.45,2360,0,0,0,0,0
Greater Manchester WDA (MBC),0,1845.88,2829.75,6109.74,3271.3,2966.92,64.38,110.01,0,687.52,46.46,0,516.87,588.5,107.73,25.11,0,15312.2,0
Greenwich LB,0,16.79,142.02,4154.4,959.78,200.65,4.1,4.7,0,55.94,2.7,45.98,101.47,5169,0,0,61.64,898.96,0
