Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Luton Borough Council,426.71,110.6,177.48,1432.1,665.94,107.78,5.96,9.06,175.8,75.1,4.5,18.7,140.68,2560.56,0,0,0,0,0
Buckinghamshire County Council,62.81,1002.46,705.137,3569.44,2437.85,770.62,32.78,23.7,0,201.6,15.91,69.804,154.62,0,3.064,69.244,0,0,0
Chesterfield Borough Council,493.856,4.684,0,1902.94,0,11,0,0,0,0,0,2.18,15.654,1653.344,0,0,0,0,0
West Devon Borough Council,446.42,557.217,56.501,1158.48,0.66,3.637,0.44,0,0,0,0,330.08,15.435,0,47.279,28.327,0.532,0,0
Bournemouth Borough Council,65.32,176.09,200.57,2732.36,849.59,194.04,6.1,10.44,0,103.52,3.2,123.67,44.22,4175.72,51.89,10.06,0,515.44,0
Colchester Borough Council,1001.909,1820.278,160.6,2144.64,0,7.43,0,0,0,0,0,146.1,48.863,0,403.62,0,2.289,0,0
Fareham Borough Council,501.84,40.36,0.17,818.42,0,4.49,0,0,0,0,0,0,55.729,1826.78,0.36,0,0,0,0
Dacorum Borough Council,547.3,593.28,127.04,3095.06,0,16.54,0,0,0,0,0,0,13.07,1419.72,199.76,0,0,0,0
Medway Borough Council,133.64,210.42,259.65,4416.18,1075.55,366.15,10.16,9.69,0,82.74,9.76,31.69,86.26,5000.92,113.76,8.15,80.07,1130,0
Lancaster City Council,67.59,894.64,0.045,1969,16.42,15.5,0,0,0,0,0,0,19.6,1370.46,0,71.77,0.656,0,0
South Holland District Council,27.64,24.935,0.511,42.86,0,0,0,0,0,0,0,138.22,38.575,2249.48,0,0,0,0,0
Bassetlaw District Council,216.56,1.15,0,0,0,0,0,0,0,0,0,328.68,19.58,1634.44,0,0,0.13,0,0
Woking Borough Council,46.151,53.779,4.238,2728.88,0,11.8,0,0,0,0,0,28,45.765,2650.757,3.669,0,0.888,0,0
South Tyneside MBC,37.5,644.9,107.1,1239,739,164.9,2.3,11.6,0,27,3,0,27.4,2579.1,27,9.3,0,890.9,0
Calderdale MBC,1147.44,1382.71,373.41,2329.38,657.1,171.55,5.02,3.5,0,120.44,3.4,59.29,67.21,0,211.35,0,0,720.6,9.21
Ealing LB,1570.14,2860.68,448.12,2498.29,259.96,213.68,4.03,1.2,0,15.37,6.34,173.45,321.59,418.1,865.22,1.48,72.63,0,0
Southwark LB,0,124.64,52.22,2718.54,400.22,48.4,0.78,2.62,0,36.56,2.34,5.27,73.112,4894.2,5.88,0,0,451.14,0.879
Milton Keynes Council,1258.61,338.57,411.77,5333.34,1184.52,265.1,10.64,18.38,0,2.76,8.69,61.96,114.78,5124.14,34.04,0,0,764.8,0
North East Derbyshire District Council,0,549.68,0,1615.46,0,9.02,0,0,0,0,0,1.14,0,1454.55,0,0,0,0,0
Hastings Borough Council,345.679,25.742,3.14,359.51,0,15.62,0,0,0,0,0,0,42.499,1438.749,0,0,0,0,0
Rochford District Council,37.59,24.488,0,2570.26,0,7.638,0,0,0,0,0,0,37.546,2324.84,0,15.423,0,0,0
Cheltenham Borough Council,804.54,1182.03,141.74,2164.68,269.3,128.76,1.56,0,0,0,2.81,31.04,78.7,56.68,108.03,52.62,2.69,0,0
New Forest District Council,1209.61,179.62,0,659,0,15.18,0,0,0,0,0,0,122.73,2661.54,0,0,0,0,0
St Albans City and District Council,870.01,1659.98,0,3144.22,0,7.936,0,0,0,0,0,0,13.18,453.22,0,0,2.19,0,0
North East Lincolnshire Council,690.672,1021.235,96.026,2075.18,400.3,175.22,0,0,0,18.48,2.57,0,12.305,277.668,28.56,0,0.02,67.7,0
Rossendale Borough Council,0,532.911,0,366.09,0,0.06,0,0,0,0,0,0,13.762,813.72,0,1.11,0,0,0
Newark and Sherwood District Council,408.9,2.43,3.58,330.06,0,0,0,0,0,0,0,231.68,8.58,2035.74,0,0,1.01,0,0
East Staffordshire Borough Council,8.592,508.977,3.952,2182.58,0,2.79,0,0,0,0,0,184.519,9.543,2236.72,0,11.805,0,0,0
Surrey County Council,114,1829,1509,8149,0,1650,51,40,0,363,36,104,660,0,296,0,174,4215,0
Manchester City Council MBC,19.2,3474.74,0,4674.28,0,56,0,0,0,0,0,0,121.21,3337.16,0,0,0,0,0
Barnsley MBC,1438.53,2039.35,411.808,2584.82,509.16,243.45,2.07,0,0,29.64,7.01,3.9,85.06,0,349.68,0,1.3,507.08,0
Havering LB,289.298,311.54,116.393,2585.66,507.76,173.13,6.57,7.4,0,0,2.81,0,53.55,3523.74,33.22,2.32,0,64.22,0.85
Wealden District Council,533.401,4.105,0,2881.241,0,4.121,0,0,0,0,0,0.05,29.135,3490.5,0,8.67,0,0,0
Uttlesford District Council,0,0.29,0,1305.91,0,0,0.18,0,0,0,0,110.936,13.149,2246.237,0,0,0,0,0
