Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Luton Borough Council,452.84,97.92,214.66,53.02,1566.4,676.2,143.69,3.79,8.94,135.16,75.6,7.1,16.16,160.01,2570.26,0,0,0,0
Buckinghamshire County Council,72.17,1022.1,810.93,14.69,3840.14,2619.31,818.66,45.31,30.72,0,132.28,26.36,54.38,176.63,0,45.25,0,0,0
Chesterfield Borough Council,502.292,0,0,0,1897.58,0,21.96,0,0,0,0,0,25.2,11.02,1681.588,0,0,0,0
West Devon Borough Council,468.44,511.299,56.33,59.692,1197.56,0.66,2.12,0.2,0,0,0,0,0,9.795,0,19.867,0.815,0,0
Bournemouth Borough Council,0,129.1,165.34,30.8,2344.61,745.08,227.26,6.16,0,0,22.68,3.1,38.82,23.53,4284.48,0,0,187.1,0
Colchester Borough Council,1000.207,1883.74,176.26,386.74,2667.34,0,181.98,0,0,0,0,0,0,13.9,0,0,1.477,0,0
Fareham Borough Council,516.55,20.6,0.209,0.716,796.28,0,3.36,0,0,0,0,0,0,67.458,1784.16,0,0,0,0
Dacorum Borough Council,0,0.97,0,0,3766.1,0,25.743,0,0,0,0,0,0,14,3443.62,0,0,0,0
Medway Borough Council,128.76,212.34,341.55,6.4,4350.5,1243.5,364.3,18.23,7.27,0,58.38,12.6,4.02,96.28,4806.58,13.02,1.05,1330,0
Lancaster City Council,78.24,966.83,0.209,0,1538.44,0.02,331.803,0,0,0,0,0,0,23.21,1281.905,77.54,8.201,0,0
South Holland District Council,26.47,14.77,0.97,0,274.66,0,0,0,0,0,0,0,0,15.241,2109.36,0,0,0,0
Bassetlaw District Council,217.22,2.1,0,0,0,0,0,0,0,0,0,0,0,32.02,1714.04,0,0.21,0,0
Woking Borough Council,7.54,17.328,4.842,0.786,2810.84,0,18.56,2.418,0,0,0,0,0,35.294,2138.06,0,0.827,0,0
South Tyneside MBC,10,651.9,140.7,26.3,1175.6,0,186.1,2.9,7.8,0,38.8,2.9,0,23.6,2536.5,11,0,1008.8,0
Calderdale MBC,1178.27,1465.44,161.78,5.46,2802.96,775.62,203.54,3.65,23.82,0,126.92,6.6,57.72,89.62,444.5,0,0,899.1,11.04
Ealing LB,148.71,599.94,208.21,0,3170.65,291.3,180.4,1.51,0,0,11.05,3.94,0,273.07,5461.73,5.71,60.67,0,0
Southwark LB,0,87.04,11.86,5.42,2527.49,334.54,51.335,0.8,0.86,0,34.2,1.36,1.52,78.57,4926.19,0,0.28,0,0
Milton Keynes Council,1232.5,291.43,430.19,8.84,5565.74,1262.15,304.67,12.03,15.98,0,95.7,11.44,38.66,118.62,5114.5,0,0,805.56,0
North East Derbyshire District Council,0,445.33,0,0,1591.34,0,9.3,0,0,0,0,0,1.5,0,1720.17,0,0,0,0
Hastings Borough Council,302.09,12.05,4.96,0,345.1,0,20.55,0,0,0,0,0,0,35.855,1433.66,0,0,0,0
Rochford District Council,21.82,7.26,0,0,2190.93,0,18.803,0.076,1.15,0,0,0,0,43.466,2115.6,7.63,0,0,0
Cheltenham Borough Council,653.06,1101.73,142.38,91.22,2367.95,253.42,144.16,2.2,0,0,0,1.55,6.464,112.92,320.04,73.78,3.11,0,0
New Forest District Council,1257.08,130.32,0,0,770.2,0,12.1,0,0,0,0,0,0,126.15,2513.91,0,0,0,0
St Albans City and District Council,15.14,1752.56,0,0,3977.12,0,38.64,0,0,0,0,0,0,21.14,1949.75,0,1.43,0,0
North East Lincolnshire Council,658.02,1010.636,103.522,2.8,1823.02,456.36,198.07,5.04,0,0,21.62,2.2,0,16.483,310.838,0,0.02,81.6,0
Rossendale Borough Council,0,547.798,0,0,365.26,0,0,0,0,0,0,0,0,16.426,799.94,0,0,0,0
Newark and Sherwood District Council,417.05,1.42,0,0,664.1,0,0,0,0,0,0,0,14.96,8.48,1968.76,0,0.67,0,0
