Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Luton Borough Council,443.71,146.78,183.75,1714.38,677.32,141.25,11.72,8.8,150.54,73.5,5.4,82.45,2601.79,111.64,0,0,0,0,0
Buckinghamshire County Council,64.39,1144.95,747.52,3728.88,2591.38,855.96,43.86,24.42,0,78.54,23.41,50.32,0,170.1,42.2,6.29,1.42,0,0
Chesterfield Borough Council,504.381,0,0,1638.52,0,15.94,0,0,0,0,0,0.32,1688.579,17.815,0,0,0,0,0
West Devon Borough Council,449.44,529.421,62.551,1192.56,1.06,1.26,0.46,0,0,0,0,320.64,0,3.453,26.433,0.936,60.777,0,0
Bournemouth Borough Council,57.52,147.38,283.77,3088.94,974.17,140.9,6.82,12.52,0,152,4.45,121.48,4328.89,46.3,20,0,42.95,682.2,0
Colchester Borough Council,979.472,1836.5,163.4,3012.64,0,183.05,0,0,0,0,0,0,0,51.242,0,2.069,397.48,0,0
Fareham Borough Council,527.36,22.27,0.259,783.84,0,5.2,0,0,0,0,0,0,1827.84,57.31,0,0,0.426,0,0
Dacorum Borough Council,0,0.6,0,3532.78,0,13.775,0,0,0,0,0,0,3483.73,11.74,0,0,0,0,0
Medway Borough Council,155.04,319.94,319.46,4902.1,1167.06,415.97,13.82,9.91,0,90.58,12.85,13.26,4830.52,93.48,2.91,1.4,0,1160,0
Lancaster City Council,77.51,1185.2,0.179,2013.98,0,18.86,0,0,0,0,0,0,1111.92,10.202,62.59,7.618,0,0,0
South Holland District Council,27.92,9.5,8.24,80.42,0,0,0,0,0,0,0,0,2183.5,14.44,0,0,0,0,0
Bassetlaw District Council,188.24,1.64,0,0,0,0,0,0,0,0,0,0,1674.64,27.6,0,0.09,0,0,0
Woking Borough Council,17.23,29.497,1.074,2281.629,0,5.943,1.436,0,0,0,0,0,2426.94,36.666,0,0.799,2.746,0,0
South Tyneside MBC,36.2,553.9,142.7,1386.6,788.5,204.1,1.8,9.8,0,33.8,2.3,0,2775.8,36.8,12.2,0,22.3,1069.3,0
