Authority,Authorised Status,Authority Type,AuthorityId,"HH waste not sent for recycling, reuse or composting","HH waste sent for recycling, composting or reuse",Household Waste Sent For Composting,Household Waste Sent For Dry Recycling,Jpp Order,Number of households,Population of Authority,Total Household Waste collected,Total hh waste collected,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Adur District Council,40,Collection,394,3579.573414,1885.4765850000001,656.28,1229.196585,346,28060,63176.0,5465.05,5465.05,,,,
Allerdale Borough Council,40,Collection,273,6433.531935,4586.178064,2603.008782,1983.169281,40,46060,96471.0,11019.71,11019.71,,,,
Amber Valley Borough Council,40,Collection,197,7923.857879000001,4267.5221200000005,1573.1,2688.72212,104,55690,123942.0,12185.68,12191.38,,,,
Arun District Council,40,Collection,55,8088.58,5617.01,2302.44,3314.57,345,72470,154414.0,13705.25,13705.59,,,,
Ashfield District Council,40,Collection,351,8337.27,4348.659000000001,1881.26,2467.399,139,54280,122508.0,12685.928999999998,12685.928999999998,,,,
Ashford Borough Council,40,Collection,82,4908.64,5693.38,2797.57,2895.81,320,51560,123285.0,10602.02,10602.02,,,,
Aylesbury Vale District Council,40,Collection,144,6513.437494,8012.379505,3770.09,4236.119505,283,76330,184560.0,14466.757,14525.817,,,,
Barking and Dagenham LB,40,Collection,413,18105.150884,4548.639115,1834.311166,2672.6279489999997,242,73360,198294.0,22604.75,22653.79,,,,
Barnet LB,40,Collection,232,23619.29,15161.57,6891.01,8099.81,250,144290,374915.0,38602.07,38780.86,,,,
Barrow-in-Furness Borough Council,40,Collection,343,4699.68,2433.88,1249.14,1184.74,39,33440,67648.0,7133.56,7133.56,,,,
Basildon District Council,40,Collection,325,10313.591,10532.688,6293.92,4238.768,206,76370,180521.0,20846.279,20846.279,,,,
Basingstoke and Deane Borough Council,40,Collection,130,10706.883999999998,3961.018,702.76,3176.34,304,73070,172870.0,14585.983,14667.902,,,,
Bassetlaw District Council,40,Collection,14,8750.85,1992.53,118.13,1874.4,138,51100,114143.0,10736.63,10743.38,,,,
Blaby District Council,40,Collection,155,4510.499138,5124.294861,2616.045919,2471.526941,114,40350,95851.0,9596.108,9634.794,,,,
Bolsover District Council,40,Collection,274,4528.766,4443.911,2608.61,1825.809,103,35020,77155.0,8963.03,8972.677,,,,
Bolton MBC,40,Collection,230,14713.464424000002,10286.745575,5547.783602,4732.095972,51,123210,280439.0,24993.343999999997,25000.21,,,,
Boston Borough Council,40,Collection,407,4089.542255,3384.317744,1848.94,1535.377744,122,28830,66458.0,7473.86,7473.86,,,,
Braintree District Council,40,Collection,402,6928.232333,8662.349666,5306.66,3329.027666,205,63120,149985.0,15563.917,15590.582,,,,
Breckland Council,40,Collection,101,7347.280284,5282.637715,2527.726346,2754.911368,225,58890,133986.0,12629.918,12629.918,,,,
Brent LB,40,Collection,301,15309.33,9447.23,3659.01,5788.22,265,114960,320762.0,24722.0,24756.56,,,,
Brentwood Borough Council,40,Collection,129,3683.3532619999996,3659.585737,1635.82,1996.0847370000001,204,32790,75645.0,7315.258000000001,7342.939,,,,
Broadland District Council,40,Collection,170,5781.900661,6369.468338000001,3717.1787170000002,2650.74762,224,55850,125961.0,12149.827,12151.368999999999,,,,
Bromsgrove District Council,40,Collection,244,5068.5996939999995,5164.220305,2595.232154,2528.8021510000003,149,40170,95485.0,10192.63,10232.82,,,,
Broxbourne Borough Council,40,Collection,349,5610.394688,4013.875311,2588.58305,1411.0552599999999,217,39890,95748.0,9610.033000000001,9624.27,,,,
Broxtowe Borough Council,40,Collection,156,6154.760883,4431.398115999999,2102.8929550000003,2318.3341609999998,137,49600,111780.0,10575.989,10586.159,,,,
Burnley Borough Council,40,Collection,406,4877.265574,2785.054425,1388.674425,1383.73,64,40600,87291.0,7650.37,7662.32,,,,
Bury MBC,40,Collection,300,8278.68,8807.92,4892.48,3915.44,50,82350,187474.0,17086.6,17086.6,,,,
