Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Adur District Council,346,394,Collection,40,3823.594936,28110,2004.945063,5828.54,1245.065063,759.88,5828.54,63429
Allerdale Borough Council,40,273,Collection,40,6313.924958,46510,4445.885041,10759.81,2010.371566,2435.513475,10759.81,96660
Amber Valley Borough Council,104,197,Collection,40,8262.9,56140,4239.46,12502.36,2657.82,1581.64,12502.36,124069
Arun District Council,345,55,Collection,40,8153.58,73210,5911.3,14064.88,3394.88,2516.42,14064.08,155732
Ashfield District Council,139,351,Collection,40,6962.57,54720,6011.0019999999995,12973.572,2589.382,3421.62,12973.572,123574
Ashford Borough Council,320,82,Collection,40,5086.616189,52400,6256.23381,11342.85,3076.548547,3179.685262,11342.85,124250
Aylesbury Vale District Council,283,144,Collection,40,7287.8120420000005,77630,8185.534956999999,15473.347,4124.071957,4055.165,15411.427,188707
Barking and Dagenham LB,242,413,Collection,40,16594.278285,74350,6506.381714,23100.66,3313.594989,3185.346724,23073.95,201979
Barnet LB,250,232,Collection,40,23890.51,146080,15550.57,39441.08,8517.42,6893.25,39294.64,379691
Barrow-in-Furness Borough Council,39,343,Collection,40,4824.17,33520,2293.93,7118.1,1063.13,1230.8,7118.1,67515
Basildon District Council,206,325,Collection,40,10258.466165,77370,11552.129834000001,21810.596,4730.900850999999,6808.634983,21798.002,181721
Basingstoke and Deane Borough Council,304,130,Collection,40,11089.515,73550,4036.901,15126.416000000001,3170.6679999999997,779.69,15039.89,173856
Bassetlaw District Council,138,14,Collection,40,8896.15,51450,2181.95,11078.1,2023.91,158.04,11075.3,114533
Blaby District Council,114,155,Collection,40,4574.7429999999995,41060,5507.041,10081.784,2636.986,2789.363,9999.952,96544
Bolsover District Council,103,274,Collection,40,4947.59,35240,4414.812,9362.402,1776.795,2630.2,9354.585,77780
Bolton MBC,51,230,Collection,40,14321.611,123630,10733.017,25054.627999999997,5024.222,5702.06,25047.892999999996,281619
Boston Borough Council,122,407,Collection,40,4179.22,29050,3034.0879999999997,7213.308000000001,1332.128,1701.96,7213.308000000001,66902
Braintree District Council,205,402,Collection,40,7571.770197,63680,8987.397802,16559.168,3394.4728219999997,5574.25898,16540.503,150360
Breckland Council,225,101,Collection,40,7544.631465,59520,5643.823534,13188.455,2850.962691,2792.860843,13188.455,135480
Brent LB,265,301,Collection,40,16258.52,117730,9225.94,25484.46,5479.34,3746.6,25453.08,324012
Brentwood Borough Council,204,129,Collection,40,3979.2083390000003,32900,3551.6756600000003,7530.884,1890.8616600000003,1631.84,7501.91,76057
Broadland District Council,224,170,Collection,40,6130.280852000001,56300,6950.180147,13080.461000000001,2827.959147,4122.221,13080.461000000001,126628
Bromsgrove District Council,149,244,Collection,40,5638.988259000001,40500,4878.90174,10517.89,2305.065627,2535.654113,10477.63,95768
Broxbourne Borough Council,217,349,Collection,40,5365.98,40130,4278.385,9644.365,1874.855,2388.54,9629.375,96217
Broxtowe Borough Council,137,156,Collection,40,6318.651527,49720,4590.6914719999995,10909.343,2299.025472,2279.59,10897.267,112253
Burnley Borough Council,64,406,Collection,40,4787.81,40740,2945.63,7733.44,1662.54,1269.92,7720.27,87371
Bury MBC,50,300,Collection,40,7491.38,82850,9318.7,16810.08,4064.44,5254.26,16810.08,187884
Cambridge City and South Cambs Councils,711,553,Collection,40,14013.634113,118850,16095.385886000002,30109.02,6432.096143,9663.289742,30096.26,285795
Camden LB,249,379,Collection,40,13950.014637999999,107190,5145.425361,19095.44,3838.4773609999997,1183.42,18971.91,241059
Cannock Chase Council,166,376,Collection,40,5656.69,42330,5055.53,10712.22,2227.01,2810.93,10694.64,98535
Canterbury City Council,319,152,Collection,40,7611.751029000001,66340,7574.923970000001,15186.675,2800.7820079999997,4774.141962,15186.675,159965
Carlisle City Council,38,76,Collection,40,6355.3,51200,5131.53,11486.83,2104.85,3020.85,11479.9,108155
Castle Point Borough Council,203,199,Collection,40,4193.562,38200,4929.884,9123.446,2141.474,2785.3,9119.046,89173
Charnwood Borough Council,113,372,Collection,40,8472.369,72050,9087.457,17559.826,4481.934,4519.419,17473.325,176720
Chelmsford Borough Council,202,346,Collection,40,10103.787581999999,73000,10409.992417,20513.78,3259.322584,7150.669833,20513.78,172638
Cheltenham Borough Council,383,29,Collection,40,6596.89915,54670,6430.501849,13027.401000000002,2995.883849,3272.38,12862.301000000001,116781
Cherwell District Council,326,51,Collection,40,6731.311664,61700,10148.798335,16880.11,3313.19,6835.608334999999,16880.11,145550
Chesterfield Borough Council,102,3,Collection,40,5662.428000000001,49130,5402.866999999999,11065.295,2009.112,3381.86,11053.4,104407
Chichester District Council,344,189,Collection,40,6208.502273,56180,4594.3677259999995,10802.87,2963.5277260000003,1630.84,10802.87,116976
Chorley Borough Council,63,65,Collection,40,5958.15,49360,6299.87,12258.02,2746.67,3539.2,12243.44,112969
Colchester Borough Council,201,7,Collection,40,8333.803005,79210,7868.726994,16202.53,3853.1469939999997,4015.58,16199.49,183939
Copeland Borough Council,37,146,Collection,40,4478.78,33370,2787.02,7265.8,976.64,1810.38,7265.8,69647
Corby Borough Council,130,313,Collection,40,3801.04,28430,3543.907,7344.946999999999,1578.17,1965.737,7344.946999999999,66854
Cotswold District Council,382,98,Collection,40,3983.4509999999996,41620,6654.649,10638.1,2215.3360000000002,4400.07,10596.13,85162
Craven District Council,85,207,Collection,40,3211.901133,27020,2349.693866,5561.595,1357.418697,986.8601689999999,5556.181,55801
Crawley Borough Council,343,267,Collection,40,5852.65,43840,2414.93,8267.58,1818.04,564.54,8235.24,110864
Dacorum Borough Council,216,9,Collection,40,6569.710702,62880,8217.912297,14787.623,3285.922297,4924.79,14780.423,151350
Dartford Borough Council,318,293,Collection,40,7152.96,43080,2520.19,9673.15,1771.35,748.84,9673.15,103892
Daventry District Council,129,391,Collection,40,4154.66,34130,5408.67,9563.33,1614.1,3788.08,9556.84,80014
Derbyshire Dales District Council,101,238,Collection,40,2813.675798,33580,4643.963201,7457.639,1797.7432010000002,2846.22,7457.639,71145
Dover District Council,317,371,Collection,40,5101.89,51530,3939.4,9041.29,2514.33,1425.07,9041.29,113228
Ealing LB,264,19,Collection,40,11646.43,133240,11691.21,23337.64,7957.1,3714.26,23317.79,343059
East Cambridgeshire District Council,190,321,Collection,40,3487.6,36880,5549.826999999999,9037.427,2079.667,3470.16,9028.567,87306
East Devon District Council,367,305,Collection,40,4812.308,67300,4216.503,9028.811,2351.054,1858.66,9022.021999999999,138141
East Hampshire District Council,303,201,Collection,40,6042.306918,51180,3263.323081,9305.63,2454.497957,748.4251230000001,9243.32,118077
East Hertfordshire District Council,215,151,Collection,40,6781.25,60780,7963.47,14744.72,3178.38,4776.47,14736.1,144719
East Lindsey District Council,121,66,Collection,40,7455.539000000001,67660,7717.602,15173.141000000001,3033.052,4684.18,15172.771,137887
East Northamptonshire Council,128,115,Collection,40,3894.73,39020,3444.01,7338.74,2072.31,1371.7,7338.74,89746
East Staffordshire Borough Council,165,37,Collection,40,6066.585298,50110,6806.094701000001,12872.68,2401.219085,4389.842615,12856.847,116040
Eastbourne Borough Council,290,291,Collection,40,5955.86,48370,4175.8240000000005,10131.684000000001,1917.0439999999999,2256.63,10131.684000000001,102465
