Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Adur District Council,346.0,394.0,Collection,40.0,3722.414554,28110.0,1992.845445,5228.204000000001,1277.9454449999998,714.9,5715.26,63429.0
Allerdale Borough Council,40.0,273.0,Collection,40.0,5654.37163,46510.0,5002.408369,9331.94,2020.134446,2982.273922,10656.78,96660.0
Amber Valley Borough Council,104.0,197.0,Collection,40.0,7900.06,56140.0,4312.85,10884.07,2641.37,1671.48,12212.91,124069.0
Arun District Council,345.0,55.0,Collection,40.0,8261.56,73210.0,5758.54,12718.46,3515.86,2242.68,14019.5,155732.0
Ashfield District Council,139.0,351.0,Collection,40.0,7349.68,54720.0,6305.126,11160.237,2414.526,3890.6,13654.806,123574.0
Ashford Borough Council,320.0,82.0,Collection,40.0,5159.58,52400.0,5883.66,9716.74,3020.27,2863.39,11043.24,124250.0
Aylesbury Vale District Council,283.0,144.0,Collection,40.0,7770.653814,77630.0,7799.078184999999,13705.965,3790.5511850000003,4003.7,15522.878,188707.0
Barking and Dagenham LB,242.0,413.0,Collection,40.0,16464.6433,74350.0,5932.076699,20167.75,3115.936475,2810.9502239999997,22378.04,201979.0
Barnet LB,250.0,232.0,Collection,40.0,23072.99,146080.0,15319.16,34044.91,8565.31,6617.46,38249.83,379691.0
Barrow-in-Furness Borough Council,39.0,343.0,Collection,40.0,4772.75,33520.0,2452.65,6457.96,1067.35,1385.3,7225.4,67515.0
Basildon District Council,206.0,325.0,Collection,40.0,9855.033741,77370.0,10725.583258,18063.648,4715.316656,6000.0796009999995,20570.43,181721.0
Basingstoke and Deane Borough Council,304.0,130.0,Collection,40.0,10847.95,73550.0,3983.6,14395.695,3189.67,719.5,14757.08,173856.0
Bassetlaw District Council,138.0,14.0,Collection,40.0,8785.97,51450.0,2163.26,10201.21,1977.47,185.79,10944.45,114533.0
Blaby District Council,114.0,155.0,Collection,40.0,4916.322505,41060.0,5087.6994939999995,8491.221,2462.994494,2602.91,9979.357,96544.0
Bolsover District Council,103.0,274.0,Collection,40.0,4543.349,35240.0,4447.784000000001,7585.568,1785.911,2653.6,8982.86,77780.0
Bolton MBC,51.0,230.0,Collection,40.0,13386.218,123630.0,11646.378999999999,22288.792999999998,5166.719,6474.46,25027.397,281619.0
Boston Borough Council,122.0,407.0,Collection,40.0,4445.89,29050.0,3154.91,6102.951999999999,1333.97,1820.94,7600.8,66902.0
Braintree District Council,205.0,402.0,Collection,40.0,7047.604953,63680.0,8110.9120459999995,13243.091999999999,3200.641046,4863.04,15111.288,150360.0
Breckland Council,225.0,101.0,Collection,40.0,7972.053137999999,59520.0,5610.946861,12153.87,2862.254524,2748.692336,13583.0,135480.0
Brent LB,265.0,301.0,Collection,40.0,16226.41,117730.0,8978.23,22453.77,5229.49,3748.74,25166.16,324012.0
Brentwood Borough Council,204.0,129.0,Collection,40.0,3842.254061,32900.0,3368.1889380000002,6717.604,1867.0219379999999,1465.9,7175.1759999999995,76057.0
Broadland District Council,224.0,170.0,Collection,40.0,5634.285057,56300.0,6863.360942,11933.801000000001,2856.0399420000003,4006.466,12496.791000000001,126628.0
Bromsgrove District Council,149.0,244.0,Collection,40.0,5177.6866039999995,40500.0,5130.245395,8568.96,2559.754551,2530.631843,10268.072,95768.0
Broxbourne Borough Council,217.0,349.0,Collection,40.0,5410.06,40130.0,4217.91,8206.22,1814.98,2388.64,9613.68,96217.0
Broxtowe Borough Council,137.0,156.0,Collection,40.0,6328.383971,49720.0,4720.592028,9250.288,2114.134028,2591.21,11031.708,112253.0
Burnley Borough Council,64.0,406.0,Collection,40.0,4818.89,40740.0,3004.5,7082.53,1576.6,1416.6,7812.09,87371.0
Bury MBC,50.0,300.0,Collection,40.0,7750.88,82850.0,9482.19,16097.87,3920.23,5561.96,17233.07,187884.0
Cambridge City and South Cambs Councils,711.0,553.0,Collection,40.0,14416.513062,118850.0,13150.786937,10780.212,4346.19332,8804.593616,27555.64,285795.0
Camden LB,249.0,379.0,Collection,40.0,14013.413836000002,107190.0,4848.868163,17707.298,3635.3781630000003,1083.96,18732.752,241059.0
Cannock Chase Council,166.0,376.0,Collection,40.0,4948.91,42330.0,5416.7,8472.89,2316.23,3077.83,10342.97,98535.0
Canterbury City Council,319.0,152.0,Collection,40.0,7881.6868620000005,66340.0,6433.7921369999995,12237.12,2614.313393,3819.4787439999996,14315.479,159965.0
Carlisle City Council,38.0,76.0,Collection,40.0,6136.36,51200.0,5658.876,11902.05,2078.73,3573.56,11788.65,108155.0
Castle Point Borough Council,203.0,199.0,Collection,40.0,4085.0190000000002,38200.0,4359.142,7963.3730000000005,2033.306,2320.16,8438.485,89173.0
Charnwood Borough Council,113.0,372.0,Collection,40.0,7900.036,72050.0,8684.982999,13870.374,4295.663,4324.706,16518.525,176720.0
Chelmsford Borough Council,202.0,346.0,Collection,40.0,10092.0,73000.0,9144.64,17527.471,3053.32,6091.32,19236.64,172638.0
Cheltenham Borough Council,383.0,29.0,Collection,40.0,6415.0,54670.0,6450.2880000000005,11029.68,2911.539,3366.24,12692.278,116781.0
Cherwell District Council,326.0,51.0,Collection,40.0,6632.857227,61700.0,9927.012772,13149.8,3661.67,6265.342772,16559.87,145550.0
Chesterfield Borough Council,102.0,3.0,Collection,40.0,5584.214,49130.0,5698.304,9133.189,2109.771,3569.66,11263.646,104407.0
Chichester District Council,344.0,189.0,Collection,40.0,6216.2569189999995,56180.0,4709.02308,11092.62,3074.52308,1634.5,10925.28,116976.0
Chorley Borough Council,63.0,65.0,Collection,40.0,6041.54,49360.0,6455.01,10605.13,2529.69,3914.81,12486.04,112969.0
Colchester Borough Council,201.0,7.0,Collection,40.0,8154.075,79210.0,7722.456999999999,16549.615,4045.097,3677.36,15875.962,183939.0
Copeland Borough Council,37.0,146.0,Collection,40.0,4372.88,33370.0,2993.74,5999.732,919.08,2074.66,7366.62,69647.0
Corby Borough Council,130.0,313.0,Collection,40.0,3922.8,28430.0,3274.5370000000003,5941.094,1596.277,1678.26,7192.451999999999,66854.0
