Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Adur District Council,346,394,Collection,40,3714.3859390000002,28060,1513.81806,5228.204000000001,1304.07806,209.74,5228.204000000001,63429
Allerdale Borough Council,40,273,Collection,40,6669.222585,46060,2662.717414,9331.94,1950.822088,711.895325,9331.94,96660
Amber Valley Borough Council,104,197,Collection,40,7645.618073999999,55690,3238.451925,10884.07,2877.791925,354.38,10877.79,124069
Arun District Council,345,55,Collection,40,8300.92,72470,4417.54,12718.46,3494.04,923.5,12718.22,155732
Ashfield District Council,139,351,Collection,40,8319.36,54280,2840.877,11160.237,2625.777,215.1,11160.237,123574
Ashford Borough Council,320,82,Collection,40,4556.33,51560,5160.41,9716.74,3214.57,1945.84,9716.74,124250
Aylesbury Vale District Council,283,144,Collection,40,7018.670154,76330,6687.294845,13705.965,4290.3938450000005,2390.24,13642.285,188707
Barking and Dagenham LB,242,413,Collection,40,17143.068268,73360,3024.6817309999997,20167.75,2497.007662,522.774069,20147.91,201979
Barnet LB,250,232,Collection,40,22732.09,144290,11312.82,34044.91,7947.18,3197.66,33870.0,379691
Barrow-in-Furness Borough Council,39,343,Collection,40,4800.37,33440,1657.59,6457.96,1284.17,373.42,6457.96,67515
Basildon District Council,206,325,Collection,40,9915.124597,76370,8148.523402,18063.648,5120.534802,3015.9236,18051.588,181721
Basingstoke and Deane Borough Council,304,130,Collection,40,10756.548,73070,3639.147,14395.695,3402.98,164.3,14323.828000000001,173856
Bassetlaw District Council,138,14,Collection,40,8069.45,51100,2131.76,10201.21,2005.52,126.24,10199.19,114533
Blaby District Council,114,155,Collection,40,4865.691425999999,40350,3625.529573,8491.221,2680.786573,860.784,8405.702,96544
Bolsover District Council,103,274,Collection,40,5255.065,35020,2330.5029999999997,7585.568,1791.221,533.72,7580.005999999999,77780
Bolton MBC,51,230,Collection,40,14357.063999999998,123210,7931.729,22288.792999999998,5194.102,2734.0,22285.166,281619
Boston Borough Council,122,407,Collection,40,4170.23,28830,1932.7220000000002,6102.951999999999,1539.763,388.88,6098.8730000000005,66902
Braintree District Council,205,402,Collection,40,6898.371987,63120,6344.720012,13243.091999999999,3833.995632,2479.49638,13211.863000000001,150360
Breckland Council,225,101,Collection,40,7732.264895,58890,4421.605104,12153.87,3501.395869,920.209234,12127.67,135480
Brent LB,265,301,Collection,40,15115.48,114960,7338.29,22453.77,5060.31,2277.98,22413.25,324012
Brentwood Borough Council,204,129,Collection,40,3957.4817420000004,32790,2760.122257,6717.604,2036.884257,691.42,6685.786,76057
Broadland District Council,224,170,Collection,40,6277.922512,55850,5655.878487,11933.801000000001,3744.4754869999997,1911.361,11933.758999999998,126628
Bromsgrove District Council,149,244,Collection,40,5229.798043,40170,3339.161956,8568.96,2504.1317670000003,797.655189,8531.59,95768
Broxbourne Borough Council,217,349,Collection,40,5298.866146,39890,2907.353853,8206.22,1811.5657850000002,1082.458068,8192.89,96217
Broxtowe Borough Council,137,156,Collection,40,6033.444074,49600,3216.843925,9250.288,2393.08471,811.433215,9237.962,112253
Burnley Borough Council,64,406,Collection,40,4938.347707,40600,2144.182292,7082.53,1688.7432780000001,438.439014,7065.53,87371
Bury MBC,50,300,Collection,40,9154.04,82350,6943.83,16097.87,4244.25,2699.58,16097.87,187884
Cambridge City Council,191,257,Collection,40,6485.01948,53060,4295.192519,10780.212,2715.553307,1579.639211,10778.632,130907
Camden LB,249,379,Collection,40,13180.94124,106380,4526.356759,17707.298,3722.802195,683.680563,17587.394,241059
Cannock Chase Council,166,376,Collection,40,5139.796913,42200,3333.093086,8472.89,2257.00629,1056.1667949999999,8451.95,98535
Canterbury City Council,319,152,Collection,40,7534.437692,66030,4702.682307,12237.12,2876.151557,1826.5307489999998,12237.12,159965
Carlisle City Council,38,76,Collection,40,8716.29,50670,3185.76,11902.05,2202.29,972.22,11890.8,108155
Castle Point Borough Council,203,199,Collection,40,4651.351,37950,3312.022,7963.3730000000005,2104.236,1201.64,7957.227,89173
Charnwood Borough Council,113,372,Collection,40,7758.489831999999,71370,6111.884167,13870.374,4486.102167,1547.111,13790.243,176720
Chelmsford Borough Council,202,346,Collection,40,11811.319908,72310,5716.151091,17527.471,2859.239518,2856.911573,17527.471,172638
Cheltenham Borough Council,383,29,Collection,40,6379.378022,54310,4650.301977,11029.68,2773.555977,1694.53,10854.15,116781
Cherwell District Council,326,51,Collection,40,6622.8661329999995,60720,6526.933865999999,13149.8,3552.79,2974.143866,13149.8,145550
Chesterfield Borough Council,102,3,Collection,40,5364.2609999999995,48980,3768.928,9133.189,2491.85,1267.6,9123.711,104407
Chichester District Council,344,189,Collection,40,6623.6767549999995,55440,4468.943244,11092.62,3824.5032439999995,634.92,11092.62,116976
Chorley Borough Council,63,65,Collection,40,6297.17,48630,4307.96,10605.13,2737.75,1542.61,10576.95,112969
Colchester Borough Council,201,7,Collection,40,8613.9,78380,7935.715,16549.615,6081.935,1853.78,16489.615,183939
Copeland Borough Council,37,146,Collection,40,4542.89,33270,1456.842,5999.732,1029.482,427.36,5999.732,69647
Corby Borough Council,130,313,Collection,40,3819.27,27930,2121.824,5941.094,1612.0839999999998,509.74,5941.094,66854
Cotswold District Council,382,98,Collection,40,4005.5609999999997,41130,4412.479,8418.04,2272.709,2081.52,8354.02,85162
Craven District Council,85,207,Collection,40,3217.302246,26860,2071.577753,5288.88,1679.563113,240.66064,5137.625,55801
Crawley Borough Council,343,267,Collection,40,5684.76,43390,1919.13,7603.89,1770.46,102.58,7557.8,110864
Dacorum Borough Council,216,9,Collection,40,7626.0734489999995,62190,5601.29755,13227.371000000001,3777.8052399999997,1815.0523100000003,13218.931,151350
Dartford Borough Council,318,293,Collection,40,6329.76,42420,2180.53,8510.29,1954.21,226.32,8510.29,103892
Daventry District Council,129,391,Collection,40,4329.82,33650,3205.93,7535.75,1594.2,1606.81,7530.83,80014
Derbyshire Dales District Council,101,238,Collection,40,3340.13,33390,3094.191,6434.321,1806.451,1287.74,6434.321,71145
Dover District Council,317,371,Collection,40,5159.23,50960,3501.301,8660.530999999999,2501.501,999.8,8660.530999999999,113228
Ealing LB,264,19,Collection,40,14053.27,132240,8787.59,22840.86,6925.87,1850.7,22829.84,343059
East Cambridgeshire District Council,190,321,Collection,40,3621.993,36700,3614.961,7236.954000000001,2111.341,1503.62,7233.814,87306
East Devon District Council,367,305,Collection,40,5185.032,66220,4663.1,9848.132,2888.8,1774.3,9848.132,138141
East Hampshire District Council,303,201,Collection,40,6467.482082,50580,2976.657917,9444.14,2586.392535,332.23538199999996,9384.56,118077
East Hertfordshire District Council,215,151,Collection,40,6861.735,60070,5860.981,12722.716,3701.386,2151.02,12714.141000000001,144719
East Lindsey District Council,121,66,Collection,40,7816.798000000001,67150,4402.64,12219.438,2989.91,1412.73,12219.438,137887
East Northamptonshire Council,128,115,Collection,40,3832.8,38520,3074.83,6907.63,2212.05,862.78,6907.63,89746
East Staffordshire Borough Council,165,37,Collection,40,6253.764169,49730,4335.28483,10589.048999999999,2553.6702800000003,1764.4675489999997,10570.952,116040
Eastbourne Borough Council,290,291,Collection,40,5897.352,48200,2666.158,8563.51,1980.0279999999998,684.08,8563.51,102465
Eastleigh Borough Council,302,347,Collection,40,6173.269134,53820,3757.040865,9930.31,2606.0908649999997,1150.95,9930.31,129027
Eden District Council,36,288,Collection,40,3184.04,25790,1726.29,4910.33,1195.63,530.66,4910.33,52565
Elmbridge Borough Council,338,174,Collection,40,5874.4,56540,6478.382,12352.782,3311.952,3111.23,12297.622,132670
Enfield LB,248,270,Collection,40,19061.150530000003,123030,8811.223469,27872.374,6048.184689,2719.68878,27823.214,328433
Epping Forest Borough Council,200,148,Collection,40,5601.326,55250,6461.829000000001,12063.155,3952.415,2504.74,12058.481000000002,129677
Epsom and Ewell Borough Council,337,251,Collection,40,4071.1469770000003,31530,3042.9130219999997,7114.06,1923.8530219999998,1114.52,7109.52,78950
Erewash Borough Council,100,216,Collection,40,6226.842703,50950,3270.087296,9496.93,2459.039566,811.04773,9496.44,114510
Exeter City Council,366,383,Collection,40,5155.662099,54400,2753.1589,7908.821,2354.5739,367.76,7877.996,127308
Fareham Borough Council,301,8,Collection,40,6228.624589,48580,2525.6084100000003,8754.233,2033.3254100000001,475.46,8737.41,114799
Fenland District Council,189,60,Collection,40,5471.07629,43730,4099.506709,9570.583,2403.766709,1695.74,9567.703000000001,99171
Forest Heath District Council,232,135,Collection,40,3471.3858170000003,29300,2574.740182,6046.126,1643.952719,930.539462,6045.878000000001,63691
Forest of Dean District Council,381,242,Collection,40,4046.27,37300,3093.3,7139.57,1378.14,1615.28,7038.73,84544
Fylde Borough Council,62,204,Collection,40,3634.0,37470,3723.883,7357.883000000001,2464.0170000000003,1257.26,7355.076999999999,77322
Gedling Borough Council,136,227,Collection,40,6830.863874,51860,3325.543125,10156.407,2800.393157,525.149968,10156.407,115889
Gloucester City Council,380,308,Collection,40,6818.18,55670,3553.91,10372.09,1930.75,1461.96,10205.62,127158
Gosport Borough Council,300,149,Collection,40,4877.311481000001,36620,1238.188518,6115.5,1208.568437,29.620081,6115.5,84672
Gravesham Borough Council,315,168,Collection,40,5380.64,42380,2631.28,8011.92,1685.7,945.58,8011.92,106299
Great Yarmouth Borough Council,223,312,Collection,40,5697.422203,47090,2809.129796,8506.552,2433.096148,330.642648,8461.161,98667
Guildford Borough Council,336,393,Collection,40,5335.915148,56920,7033.552851,12369.468,4478.325758,2316.401092,12130.642,146080
Hackney LB,247,318,Collection,40,15719.431397999999,108720,5288.344601,21007.776,3995.9596009999996,1201.32,20914.999,269009
Hambleton District Council,84,279,Collection,40,4651.937,40250,3395.595,8047.531999999999,2045.636,1189.42,7886.994000000001,90035
Hammersmith and Fulham LB,270,139,Collection,40,10304.836367,85090,2806.1436320000003,13110.98,2592.253632,181.42,13078.51,179410
Harborough District Council,112,100,Collection,40,3986.110485,37350,4264.255514,8250.366,2514.830514,1714.281,8211.813,89284
Haringey LB,246,395,Collection,40,13923.821664,106510,6818.668334999999,20742.49,5193.377173,1473.561162,20591.02,272864
Harlow District Council,199,220,Collection,40,3661.4286509999997,36350,3031.236348,6692.665,2186.793348,842.08,6690.302,85397
Harrogate Borough Council,83,86,Collection,40,8663.16,70770,4368.748,13031.908000000001,3278.518,680.58,12605.19,157016
Harrow LB,263,212,Collection,40,14045.320441999998,88320,8121.589556999999,22166.91,4835.072055,3286.5175010000003,22166.91,247130
Hart District Council,299,221,Collection,40,4907.43,37550,2720.27,7627.7,2211.31,505.82,7624.56,93912
Hastings Borough Council,289,27,Collection,40,5623.987913,42780,2165.215086,7789.203,1873.027032,292.18805299999997,7789.203,91497
Havant Borough Council,298,369,Collection,40,7074.563945,53580,2460.807054,9535.371,2181.027121,279.779932,9535.371,122927
Havering LB,241,41,Collection,40,16654.754,102650,6472.7919999999995,23127.546000000002,5025.9220000000005,1442.24,23122.546000000002,249085
Hertsmere Borough Council,214,222,Collection,40,5298.39,42270,3281.2209999999995,8579.610999999999,1881.5729999999999,1399.35,8575.763,102998
High Peak Borough Council,99,289,Collection,40,5010.729147999999,41100,3620.8708509999997,8631.6,2397.990851,1184.94,8593.66,91496
Hillingdon LB,262,285,Collection,40,12891.409659,108510,8663.59034,21555.0,6473.59034,2190.0,21555.0,297735
Hinckley and Bosworth Borough Council,111,169,Collection,40,5540.705,48140,4212.573,9753.278,2671.383,1481.535,9689.123,108769
Horsham District Council,342,411,Collection,40,7566.608920000001,58470,4774.748079,12341.357,3162.797235,1611.950843,12285.306999999999,135868
Hounslow LB,261,106,Collection,40,14426.898408000001,99120,7108.3015909999995,21535.2,5295.501590999999,1741.82,21464.22,268770
Huntingdonshire District Council,188,123,Collection,40,7672.57,74590,7374.704000000001,15047.274,4540.084,2834.62,15041.173999999999,174966
Hyndburn Borough Council,61,277,Collection,40,4166.03,36610,1731.05,5897.08,1524.06,202.79,5892.88,80228
Ipswich Borough Council,231,282,Collection,40,8187.290276999999,59890,4190.839722,12378.13,2846.9875230000002,1265.212199,12299.49,135600
Islington LB,245,337,Collection,40,10245.256255,105360,4279.196744,14524.453000000001,3443.3957939999996,769.9299490000001,14458.582,227692
Kettering Borough Council,127,185,Collection,40,5186.45,42880,3630.3520000000003,8816.802,2471.652,1158.7,8816.802,97650
Kings Lynn and West Norfolk Borough Council,222,329,Collection,40,8158.355390000001,71650,5681.864609,13840.22,3789.521351,1875.983257,13823.86,151013
Knowsley MBC,72,335,Collection,40,9269.532504,65690,3698.6174950000004,12968.15,3117.817495,580.8,12968.15,147231
Lambeth LB,268,233,Collection,40,15127.277136,137860,5800.5828630000005,20927.86,4567.852863,1229.46,20923.64,324431
Lancaster City Council,60,11,Collection,40,7381.278,62710,4148.084,11529.362,2590.044,1558.04,11529.362,142283
Lewes District Council,288,240,Collection,40,5508.136532,44180,1696.3394670000002,7204.476,1390.183833,306.155633,7204.476,100693
Lichfield District Council,164,173,Collection,40,5493.539658,43840,4067.4803409999995,9561.02,2545.382668,1522.097672,9561.02,102706
Lincoln City Council,120,206,Collection,40,5824.7390000000005,44430,2639.05,8463.789,1910.18,727.94,8462.859,97065
Liverpool City Council,71,412,Collection,40,30770.890627999997,218690,10334.741371,41105.632000000005,6236.231371,1363.32,41042.522000000004,478580
Maidstone Borough Council,314,309,Collection,40,7770.42,67440,5985.64,13756.06,3906.42,2079.22,13756.06,164499
Maldon District Council,198,368,Collection,40,3162.958,27220,2143.3779999999997,5306.335999999999,1308.998,834.38,5306.335999999999,62743
Malvern Hills District Council,146,150,Collection,40,3904.555265,34450,2194.534734,6099.09,1772.3614329999998,422.173301,6099.09,75731
Manchester City Council MBC,49,39,Collection,40,28425.148999999998,222730,11644.930999,40070.08,7526.099879,4030.3811200000005,39981.63,530292
Mansfield District Council,135,374,Collection,40,6623.897353,48270,2904.246646,9528.144,2144.849781,759.3968639999999,9528.144,106556
Melton Borough Council,110,388,Collection,40,2730.9959999999996,22460,2111.189,4842.185,1590.414,501.62300000000005,4824.685,50912
Mendip District Council,390,264,Collection,40,5859.757697,50230,4300.213302,10159.971,2937.413302,1327.1,10123.77,111724
