Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Adur District Council,346,394,Collection,40,3678.0338070000003,28110,1512.926192,5190.96,1223.546192,289.38,5190.96,63506
Allerdale Borough Council,40,273,Collection,40,6083.63,46510,2500.79,8584.42,1686.81,813.98,8584.42,96956
Amber Valley Borough Council,104,197,Collection,40,7798.250965,56140,3196.379034,10994.63,2783.999034,412.38,10994.63,124645
Arun District Council,345,55,Collection,40,8474.53,73210,4598.44,13072.97,3533.28,1065.16,13072.79,156997
Ashfield District Council,139,351,Collection,40,7822.06,54720,3312.39,11134.45,2502.36,810.03,11134.45,124482
Ashford Borough Council,320,82,Collection,40,4377.267624,52400,5050.492375,9427.76,3049.464521,2001.027853,9427.76,126151
Aylesbury Vale District Council,283,144,Collection,40,7818.986994,77630,6985.985005,14804.972,4274.765004999999,2705.95,14759.27,193113
Barking and Dagenham LB,242,413,Collection,40,15112.196348,74350,4656.670650999999,19768.867,3421.362119,1186.0825320000001,19699.338,206460
Barnet LB,250,232,Collection,40,21944.96,146080,10663.46,32608.42,7282.89,3252.27,32474.43,386083
Barrow-in-Furness Borough Council,39,343,Collection,40,4673.74,33520,1465.79,6139.53,1099.01,366.78,6139.53,67321
Basildon District Council,206,325,Collection,40,9850.208821,77370,8206.533178,18056.742,4831.436812,3359.8753659999998,18041.521,183378
Basingstoke and Deane Borough Council,304,130,Collection,40,10902.528,73550,3600.08,14502.608,3312.778,215.42,14430.726,174588
Bassetlaw District Council,138,14,Collection,40,7941.6,51450,2409.04,10350.64,2135.47,273.57,10344.52,114847
Blaby District Council,114,155,Collection,40,5254.8369999999995,41060,3453.0879999999997,8707.925,2546.284,887.0319999999999,8687.854,97703
Bolsover District Council,103,274,Collection,40,5292.191999999999,35240,2378.4339999999997,7670.626,1743.78,622.86,7666.976,78082
Bolton MBC,51,230,Collection,40,11912.650926,123630,9090.806073,21003.457000000002,5666.716468,3419.8416039999997,20999.209,283115
Boston Borough Council,122,407,Collection,40,4625.861978,29050,1853.4780210000001,6479.34,1427.3980210000002,426.08,6479.34,67564
Braintree District Council,205,402,Collection,40,7574.688506999999,63680,5615.964492,13190.653,3306.118492,2286.66,13167.464,150999
Breckland Council,225,101,Collection,40,8334.761279999999,59520,4677.299719,13012.061000000002,3483.316867,1193.982851,13012.061000000002,137032
Brent LB,265,301,Collection,40,14342.4,117730,7878.66,22221.06,5437.82,2440.84,22188.9,328254
Brentwood Borough Council,204,129,Collection,40,3887.33451,32900,2795.320489,6682.655,1814.444489,950.88,6652.659000000001,76386
Broadland District Council,224,170,Collection,40,7047.615164,56300,6445.519835,13493.135,4067.311835,2378.208,13493.135,127455
Bromsgrove District Council,149,244,Collection,40,5171.349,40500,3653.71,8825.059000000001,2611.065,949.592,8732.03,96769
Broxbourne Borough Council,217,349,Collection,40,5451.73,40130,3200.235,8651.965,1950.475,1236.65,8638.855,96779
Broxtowe Borough Council,137,156,Collection,40,6084.397957,49720,3322.6950420000003,9407.093,2413.335042,896.75,9392.983,112671
Burnley Borough Council,64,406,Collection,40,4805.07,40740,2053.91,6858.98,1653.5,389.65,6848.22,87522
Bury MBC,50,300,Collection,40,7796.2,82850,7256.34,15052.54,4138.36,3117.98,15052.54,188669
Cambridge City and South Cambs Councils,711,553,Collection,40,15441.208047999999,118850,9255.001951,24696.21,4266.127833,4988.874118,24694.37,288267
Camden LB,249,379,Collection,40,12649.023164,107190,4651.3168350000005,17300.34,3803.418185,734.698649,17187.16,246181
Cannock Chase Council,166,376,Collection,40,4981.01,42330,3530.77,8511.78,2368.81,1138.19,8487.98,98534
Canterbury City Council,319,152,Collection,40,7776.8198090000005,66340,4870.45019,12647.27,2755.369337,2115.080852,12647.27,162416
Carlisle City Council,38,76,Collection,40,6382.48,51200,3079.91,9462.39,1952.37,1113.18,9448.03,108409
Castle Point Borough Council,203,199,Collection,40,4302.744000000001,38200,3363.612,7666.356,2145.984,1212.72,7661.448,89731
Charnwood Borough Council,113,372,Collection,40,8433.245,72050,6068.204000000001,14501.448999999999,4346.798,1661.013,14435.256000000001,179389
Chelmsford Borough Council,202,346,Collection,40,8431.274574,73000,7630.761425,16062.036,3956.683415,3674.07801,16062.036,174089
Cheltenham Borough Council,383,29,Collection,40,6329.964,54670,4965.174,11295.138,2853.884,1895.74,11075.648000000001,117530
Cherwell District Council,326,51,Collection,40,6780.942209000001,61700,6877.7977900000005,13658.74,3588.88,3288.91779,13658.74,146338
Chesterfield Borough Council,102,3,Collection,40,5469.496999999999,49130,3572.343,9041.84,2176.526,1378.3,9024.323,104440
Chichester District Council,344,189,Collection,40,6161.793943,56180,3816.446056,9978.24,3011.766056,804.68,9978.24,118175
Chorley Borough Council,63,65,Collection,40,6089.28,49360,4170.23,10259.51,2664.59,1491.46,10245.63,114351
Colchester Borough Council,201,7,Collection,40,8627.868,79210,6251.007,14878.875,3919.847,2331.16,14869.575,186635
Copeland Borough Council,37,146,Collection,40,4490.26,33370,1261.21,5751.47,958.41,302.8,5751.47,69307
Corby Borough Council,130,313,Collection,40,4064.39,28430,2127.11,6191.5,1475.08,574.3,6111.65,68187
Cotswold District Council,382,98,Collection,40,4091.7509999999997,41620,4772.327,8864.078000000001,2330.819,2389.73,8810.308,85756
Craven District Council,85,207,Collection,40,3175.719927,27020,1980.5270719999999,5156.247,1568.543666,312.868405,5057.128,56308
Crawley Borough Council,343,267,Collection,40,6009.378171,43840,2048.301828,8057.68,1853.9218280000002,160.32,8023.62,111375
Dacorum Borough Council,216,9,Collection,40,7119.353123000001,62880,5751.692876,12871.046,3703.6737340000004,2039.368141,12862.395,152692
Dartford Borough Council,318,293,Collection,40,6878.38,43080,2221.0,9099.38,1953.84,267.16,9099.38,105543
Daventry District Council,129,391,Collection,40,4113.6,34130,3354.69,7468.29,1648.18,1699.0,7460.78,81316
Derbyshire Dales District Council,101,238,Collection,40,2847.001071,33580,3446.365928,6293.366999999999,1966.78896,1479.576967,6293.366999999999,71288
Dover District Council,317,371,Collection,40,4384.210096,51530,3792.0399030000003,8176.25,2568.246964,1223.7929390000002,8176.25,114227
Ealing LB,264,19,Collection,40,8313.77,133240,10195.6,18509.37,7460.9,2716.43,18491.1,343196
East Cambridgeshire District Council,190,321,Collection,40,4189.465999999999,36880,3305.329,7494.795,1551.489,1753.84,7494.475,87825
East Devon District Council,367,305,Collection,40,5236.16,67300,5464.441999999999,10700.601999999999,3313.2740000000003,2143.79,10693.223999999998,139908
East Hampshire District Council,303,201,Collection,40,6358.331089,51180,2911.06891,9269.4,2482.119952,377.35895800000003,9216.94,117955
East Hertfordshire District Council,215,151,Collection,40,6607.0,60780,5654.221,12261.221000000001,3349.6059999999998,2296.86,12253.466,146309
East Lindsey District Council,121,66,Collection,40,7814.278343000001,67660,4662.977656,12477.256000000001,3045.727656,1617.06,12477.066,138443
East Northamptonshire Council,128,115,Collection,40,3808.98,39020,3225.06,7034.04,2280.48,944.58,7034.04,90999
East Staffordshire Borough Council,165,37,Collection,40,6074.011482,50110,4516.016517,10590.028,2549.186176,1953.297341,10575.535,116701
Eastbourne Borough Council,290,291,Collection,40,5972.56,48370,2704.33,8676.89,1939.16,759.64,8676.89,103054
Eastleigh Borough Council,302,347,Collection,40,6259.717974,54160,3937.502025,10197.22,2631.182025,1306.32,10197.22,129635
Eden District Council,36,288,Collection,40,4022.08,26000,1756.29,5778.37,1241.19,515.1,5778.37,52639
Elmbridge Borough Council,338,174,Collection,40,5868.164754,56810,6647.767245,12515.931999999999,3509.879997,3057.677248,12435.722,132764
Enfield LB,248,270,Collection,40,18527.055734,123520,9310.634265,27837.69,6429.684953,2846.399973,27837.69,331395
Epping Forest Borough Council,200,148,Collection,40,5971.087167000001,55590,6460.465832,12431.553,3631.339832,2812.02,12414.447,130321
Epsom and Ewell Borough Council,337,251,Collection,40,3703.99,31660,2983.72,6687.71,1687.47,1291.59,6683.05,79588
Erewash Borough Council,100,216,Collection,40,6697.355697999999,51370,3479.944301,10177.3,2456.257625,1023.686675,10177.1,114891
Exeter City Council,366,383,Collection,40,6323.494291,55070,2644.3717079999997,8967.866,2174.048708,434.92,8932.463,129801
Fareham Borough Council,301,8,Collection,40,6173.608254,48930,2635.117745,8808.726,2088.605745,532.5,8794.714,115423
Fenland District Council,189,60,Collection,40,6095.472287,44060,3715.0797119999997,9810.552,1858.0797120000002,1857.0,9809.771999999999,100182
Forest Heath District Council,232,135,Collection,40,3728.5834619999996,29470,2207.554537,5936.138000000001,1718.3414239999997,488.844112,5935.769,64447
Forest of Dean District Council,381,242,Collection,40,4326.25,37690,3601.1,7927.35,1724.23,1785.24,7835.72,85385
Fylde Borough Council,62,204,Collection,40,4241.818,37670,2999.992,7241.81,2001.9170000000001,995.44,7238.835,77990
Gedling Borough Council,136,227,Collection,40,6823.1095510000005,52090,3536.3404479999995,10359.45,2958.0312,578.309248,10359.45,116501
Gloucester City Council,380,308,Collection,40,6613.59,56120,4164.95,10778.54,2401.33,1577.54,10592.46,128488
Gosport Borough Council,300,149,Collection,40,5001.271402,36820,1253.428597,6254.7,1217.0341449999999,36.394452,6254.7,85363
Gravesham Borough Council,315,168,Collection,40,5531.12,42530,2760.26,8291.38,1730.76,1029.5,8291.38,106808
Great Yarmouth Borough Council,223,312,Collection,40,5900.685665999999,47430,3020.785333,8921.471,2471.174546,501.009787,8880.511,99164
Guildford Borough Council,336,393,Collection,40,4868.901777,57460,7185.1422219999995,12054.044,4082.511521,3069.9667,12020.573999999999,148020
Hackney LB,247,318,Collection,40,15357.296568000002,111120,6657.663431,22014.96,5000.503431,1561.35,21919.15,273526
Hambleton District Council,84,279,Collection,40,4594.9929999999995,40620,3849.8990000000003,8444.892,1903.675,1840.02,8338.03,90537
Hammersmith and Fulham LB,270,139,Collection,40,9404.223553,86460,2865.0864460000003,12269.31,2597.986446,255.17,12257.38,179654
Harborough District Council,112,100,Collection,40,4250.748,37960,3748.0359999999996,7998.784000000001,2636.687,1104.191,7989.828,90416
