Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Adur District Council,346,394,Collection,40,3685.4443950000004,28060,1874.6736039999998,5560.118,1284.7136039999998,589.96,5560.118,63176
Allerdale Borough Council,40,273,Collection,40,6451.278434000001,46060,5092.101565,11543.38,2106.336142,2978.425423,11536.04,96471
Amber Valley Borough Council,104,197,Collection,40,7791.533259000001,55690,4078.13674,11869.67,2562.00674,1508.26,11861.8,123942
Arun District Council,345,55,Collection,40,8295.19,72470,5506.46,13801.65,3428.72,2077.74,13801.35,154414
Ashfield District Council,139,351,Collection,40,8118.76,54280,4342.924,12461.684,2491.304,1851.62,12461.684,122508
Ashford Borough Council,320,82,Collection,40,5032.19,51560,5139.48,10171.67,2419.47,2720.01,10171.67,123285
Aylesbury Vale District Council,283,144,Collection,40,7189.767435,76330,7758.392564,14948.16,4159.23304,3592.889524,14886.76,184560
Barking and Dagenham LB,242,413,Collection,40,17866.398712000002,73360,5229.461287,23095.86,3101.4897170000004,2078.52157,23033.88,198294
Barnet LB,250,232,Collection,40,23529.853,144290,14451.646999999999,37981.5,8316.115,5960.79,37798.395,374915
Barrow-in-Furness Borough Council,39,343,Collection,40,4750.3,33440,2507.17,7257.47,1192.27,1314.9,7257.47,67648
Basildon District Council,206,325,Collection,40,9674.689719,76370,10578.19728,20252.887,4994.570252,5571.202028,20240.462,180521
Basingstoke and Deane Borough Council,304,130,Collection,40,10758.47,73070,3938.542,14697.011999999999,3180.96,672.66,14612.09,172870
Bassetlaw District Council,138,14,Collection,40,8469.87,51100,2138.44,10608.31,2021.37,117.07,10602.06,114143
Blaby District Council,114,155,Collection,40,4347.313,40350,5005.186,9352.499,2579.847,2341.145,9267.245,95851
Bolsover District Council,103,274,Collection,40,4434.18,35020,4112.737,8546.917,1654.35,2449.32,8537.713,77155
Bolton MBC,51,230,Collection,40,14212.660788999998,123210,10369.26521,24581.926,4740.296437,5623.008773,24575.966,280439
Boston Borough Council,122,407,Collection,40,4003.9084350000003,28830,3404.607564,7408.516,1655.707564,1748.9,7408.516,66458
Braintree District Council,205,402,Collection,40,6780.403312,63120,7778.5266870000005,14558.93,3391.760872,4373.242815,14545.54,149985
Breckland Council,225,101,Collection,40,7684.541264,58890,5691.390735,13375.931999999999,3230.635788,2460.754946,13375.931999999999,133986
Brent LB,265,301,Collection,40,15470.2,114960,9024.74,24494.94,5653.52,3371.22,24458.6,320762
Brentwood Borough Council,204,129,Collection,40,3688.7752630000005,32790,3344.380736,7033.156,2017.4087359999999,1297.74,7003.924,75645
Broadland District Council,224,170,Collection,40,6061.507272,55850,6717.047726999999,12778.555,3079.4767269999998,3637.571,12778.555,125961
Bromsgrove District Council,149,244,Collection,40,5519.775,40170,4551.245,10071.02,2240.025,2311.22,10031.88,95485
Broxbourne Borough Council,217,349,Collection,40,5545.548540999999,39890,3967.111458,9512.66,1485.309671,2461.761787,9492.62,95748
Broxtowe Borough Council,137,156,Collection,40,6417.795259,49600,3994.2447399999996,10412.04,2057.651049,1922.853691,10398.3,111780
Burnley Borough Council,64,406,Collection,40,4714.820473,40600,2987.869526,7702.69,1610.933683,1371.105842,7695.1,87291
Bury MBC,50,300,Collection,40,8015.6,82350,8854.67,16870.27,3925.41,4929.26,16870.27,187474
Cambridge City Council,191,257,Collection,40,6979.203262000001,53060,5130.439737,12109.643,2550.42365,2580.016086,12105.063,128515
Camden LB,249,379,Collection,40,15069.33085,106380,4796.329149,19865.66,3846.366292,818.6428559999999,19737.5,234846
Cannock Chase Council,166,376,Collection,40,5128.499317,42200,5196.787682,10325.287,2330.840765,2844.7679160000002,10304.108,98549
Canterbury City Council,319,152,Collection,40,7877.496032999999,66030,6267.963965999999,14145.46,2705.093966,3562.87,14145.46,157649
Carlisle City Council,38,76,Collection,40,6096.76,50670,5491.0,11587.76,2009.14,3469.7,11575.6,108022
Castle Point Borough Council,203,199,Collection,40,4206.255,37950,4140.854,8347.109,1961.878,2173.82,8341.953000000001,88907
Charnwood Borough Council,113,372,Collection,40,7818.244401000001,71370,8023.057598,15841.302,4257.671598,3702.9770000000003,15778.833,173545
Chelmsford Borough Council,202,346,Collection,40,10524.504075,72310,8332.832924,18857.337,2877.786279,5448.096644,18850.387,171633
Cheltenham Borough Council,383,29,Collection,40,6538.315,54310,5740.746,12279.061000000002,2875.145,2737.32,12150.061000000002,116495
Cherwell District Council,326,51,Collection,40,6597.11,60720,8727.92,15325.03,3383.92,5344.0,15325.03,144494
Chesterfield Borough Council,102,3,Collection,40,5417.214699,48980,5083.1613,10500.376,1918.246,3146.5973,10482.058,104288
Chichester District Council,344,189,Collection,40,6678.278902,55440,4522.071097,11200.35,3118.461097,1392.82,11198.25,115527
Chorley Borough Council,63,65,Collection,40,5605.407593999999,48630,6366.402405,11971.81,2592.635439,3761.086965,11958.73,111607
Colchester Borough Council,201,7,Collection,40,8065.784000000001,78380,7401.809,15467.593,3857.13,3199.3,15460.163999999999,180420
Copeland Borough Council,37,146,Collection,40,4568.74,33270,2979.65,7548.39,921.65,2058.0,7548.39,69832
Corby Borough Council,130,313,Collection,40,3539.2,27930,3060.7,6599.9,1547.93,1485.47,6572.6,65434
Cotswold District Council,382,98,Collection,40,3854.191,41130,5966.764,9820.955,2142.013,3769.76,9762.065,84637
Craven District Council,85,207,Collection,40,3005.705349,26860,2456.70065,5462.406,1426.140775,1024.1428740000001,5455.9890000000005,55696
Crawley Borough Council,343,267,Collection,40,5655.69,43390,2272.64,7928.33,1795.74,447.29,7898.72,109883
Dacorum Borough Council,216,9,Collection,40,7134.248995999999,62190,7373.031003,14507.28,3285.29811,4074.652892,14494.2,149741
Dartford Borough Council,318,293,Collection,40,6703.65,42420,2294.94,8998.59,1795.48,499.46,8998.59,102234
Daventry District Council,129,391,Collection,40,4110.55,33650,4717.65,8828.2,1500.51,3210.76,8821.82,79036
Derbyshire Dales District Council,101,238,Collection,40,3089.104687,33390,4517.900312,7607.005,1765.9660000000001,2751.9343120000003,7607.005,71281
