Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Adur District Council,346,394,Collection,40,3450.1036770000005,28110,1615.666322,5065.77,1261.626322,354.04,5065.77,63429
Allerdale Borough Council,40,273,Collection,40,6584.33,46510,3093.99,9678.32,1761.73,1332.26,9678.32,96660
Amber Valley Borough Council,104,197,Collection,40,7533.67,56140,3218.5,10752.17,2559.28,659.22,10752.17,124069
Arun District Council,345,55,Collection,40,8277.41,73210,4885.06,13162.47,3441.56,1443.5,13161.99,155732
Ashfield District Council,139,351,Collection,40,6553.97,54720,4288.288,10842.258,2716.558,1571.73,10842.258,123574
Ashford Borough Council,320,82,Collection,40,3942.63,52400,5480.69,9423.32,3274.09,2206.6,9423.32,124250
Aylesbury Vale District Council,283,144,Collection,40,6819.579740000001,77630,7049.481259,13869.061000000002,4131.262259,2912.21,13816.13,188707
Barking and Dagenham LB,242,413,Collection,40,14535.179181,74350,4164.780818,18699.96,2943.7102219999997,1185.240596,18644.34,201979
Barnet LB,250,232,Collection,40,22228.84,146080,12903.35,35132.19,7915.89,4841.77,34981.34,379691
Barrow-in-Furness Borough Council,39,343,Collection,40,4835.84,33520,1706.63,6542.47,1087.92,618.71,6542.47,67515
Basildon District Council,206,325,Collection,40,9517.522285,77370,8239.539714,17757.061999999998,4532.067515,3698.1691979999996,17745.828999999998,181721
Basingstoke and Deane Borough Council,304,130,Collection,40,10789.253999999999,73550,3934.437,14723.691,3315.987,545.64,14650.893,173856
Bassetlaw District Council,138,14,Collection,40,7875.0,51450,2221.53,10096.53,2048.83,172.7,10093.86,114533
Blaby District Council,114,155,Collection,40,4548.87,41060,3710.1890000000003,8259.059000000001,2296.074,1393.5829999999999,8238.527,96544
Bolsover District Council,103,274,Collection,40,4360.925,35240,2662.7709999999997,7023.696,1633.8239999999998,1017.909,7016.632,77780
Bolton MBC,51,230,Collection,40,11753.821842,123630,9585.153156999999,21338.975,5308.502713,4271.353443,21333.678,281619
